CLUSTER,APOGEE_ID,C_O,sigma_CO,C_FE,O_FE,FE_H,FE_H_ERR,SNR,TEFF,LOGG,VHELIO_AVG,RA,DEC,age_gyr,logage,MG_FE,SI_FE,AL_FE,RV_PROB,FEH_PROB,PM_PROB
ASCC 11,2M03351633+4513201,0.5134253932850931,0.031296557355044274,0.10431,0.133405,-0.35902,0.007607283,278.3818,4865.481,2.386993,-41.39866,53.818078,45.22226,0.24547108562064812,8.390000343322754,0.08519101,0.06496561,0.105661,0.02,0.97,0.61
ASCC 11,2M03351633+4513201,0.5006639996089605,0.04584296361994747,0.09418002,0.134206,-0.34951,0.01077233,130.9616,4887.503,2.421938,-41.53432,53.818078,45.22226,0.24547108562064812,8.390000343322754,0.103198,0.06054461,0.12075,0.02,0.97,0.61
ASCC 11,2M03361317+4517564,0.523996449684568,0.018288710615574834,-0.009838,0.010406,0.14625,0.006921567,222.8182,4636.937,2.471273,-51.926,54.054875,45.299019,0.24547108562064812,8.390000343322754,0.01772201,-0.002562389,0.012201,0.8,0.0,0.56
ASCC 11,2M03365199+4546053,0.3731662553059546,0.04797792861906411,0.06119302,0.228863,-0.45069,0.01371537,55.58435,4917.517,2.974591,-48.81417,54.216645,45.768139,0.24547108562064812,8.390000343322754,0.157465,0.0425826,0.126791,0.93,0.02,0.88
ASCC 11,2M03370680+4539359,0.31887783624628346,0.03794734652800134,-0.02831501,0.207633,-0.35412,0.01326627,52.11123,4910.895,3.082584,1.395682,54.278334,45.659992,0.24547108562064812,8.390000343322754,0.129945,0.0897806,0.07268098,0.0,0.94,0.76
ASCC 11,2M03371089+4532277,0.2642526519601116,0.02999856551959814,-0.08151999,0.236033,-0.37929,0.01166216,61.63776,4974.356,2.466637,-48.02387,54.295414,45.541054,0.24547108562064812,8.390000343322754,0.124738,0.07673562,0.104681,0.81,0.62,0.26
ASCC 11,2M03373565+4501446,0.36984509595521187,0.04378776331072532,-0.11372,0.05783248,-0.37567,0.01164042,92.2846,5004.425,2.562407,-52.36654,54.398548,45.029064,0.24547108562064812,8.390000343322754,0.06955108,0.05114558,0.08545098,0.72,0.68,0.35
ASCC 116,2M21581697+5430553,0.5447400852531024,0.04132977286209234,-0.084151,-0.08076799,-0.083204,0.007329253,201.6893,5121.009,2.875309,-48.94009,329.570746,54.515381,,,-0.05585799,-0.0349454,-0.031918,1.0,1.0,0.73
ASCC 16,2M05205489+0102022,0.6099306451478347,0.029113579652334184,-0.013379,-0.05908711,-0.095044,0.009408825,132.4822,4454.485,4.504764,20.37601,80.228738,1.033969,0.013489632380568446,7.130000114440918,-0.03789049,-0.035006,-9999.0,1.0,1.0,-0.42
ASCC 16,2M05214914+0035156,0.35513423832755936,0.025755762598965008,-0.16841,0.0207698,-0.1151,0.01116795,135.6294,4699.852,4.411045,20.89508,80.454765,0.587694,0.013489632380568446,7.130000114440918,-0.0123045,0.03920899,0.022846,0.94,0.91,0.78
