name,status,P_d,dur_d,sde_obs,baseline_d,verdict,proc_s,fap_01d,null95_01d,nullmed_01d,scope_01d,fap_03d,null95_03d,nullmed_03d,scope_03d,fap_07d,null95_07d,nullmed_07d,scope_07d,fap_14d,null95_14d,nullmed_14d,scope_14d
HD 271308,ok,34.2689733097235,0.10000000000000002,8.057440816765556,327.5802315953815,ROBUST_ACROSS_BLOCKS,140.2900984287262,0.0,5.396306904404347,3.855757729647558,ok,0.0,5.070396144196125,3.969484538125493,ok,,,,N/A,,,,N/A
2M18464473+5923422,ok,246.0078403136125,0.20000000000000004,9.733852030693573,1979.455498195877,ROBUST_ACROSS_BLOCKS,745.0652179718018,0.0,8.05762126545431,6.169417669116479,ok,0.02,8.205836011786817,6.421326965923188,ok,0.0,7.791357970229359,6.301329815937283,ok,0.0,7.45827657381066,6.206541595798438,ok
2M17004013+6026044,ok,178.22096883875355,0.15,7.98853360812082,1979.4548869975226,ROBUST_ACROSS_BLOCKS,673.4846653938293,0.02,7.281873755654588,5.566326859751319,ok,0.02,7.2744997453315765,5.565667084687298,ok,0.02,7.163362561655513,5.460951546638929,ok,0.0,7.265451404334549,5.390944372995769,ok
