chem_group,N,pmra_mean,pmra_std,pmdec_mean,pmdec_std
4,141,-2.3553011113811966,6.495183252131995,0.04291861307989415,6.30144499329151
5,65,-2.223222931783023,5.660787516283737,-0.16933399635405225,6.431148266630353
8,55,-2.843881725695531,4.829528776433216,-1.91786130479397,5.418866541036331
9,456,-1.8796950988203074,5.9149901317824085,-0.5283005488201714,6.220678216091778
14,119,-2.534391916920802,5.843406418394195,-2.6661970872225758,6.19264965557078
18,93,-2.3131325606897373,5.65216190707505,-1.6995785877654443,5.3676856402031365
22,64,-1.208017156386767,16.070011035594888,-7.990880791311457,11.204212861560125
23,73,-3.68362722533278,6.749637649312615,-1.9864161077806304,6.648086019358332
25,68,-2.3530999329461357,5.13010257840932,-0.9104929422281843,4.902416502541338
26,156,-2.8898701440041012,6.0266216479589945,-0.5618196327594921,6.1459912898129625
40,93,-2.092486173967272,5.326950227321735,1.104978605500143,5.868605368981112
41,54,-2.9574588893792084,8.988162604972503,-3.77786715636535,8.549001651613427
50,97,-1.6499978825129866,5.263980276981655,-2.7644853692865614,8.323422434874699
64,68,-1.5686735939199135,6.877178537905509,-1.6709455863697418,5.829991919714159
65,62,-2.5227124209092553,5.842576001102895,-0.03897913203425348,6.447500608133266
85,53,-2.1550491492555324,12.135747040276406,-3.4671959978976887,8.740654201018977
86,80,-0.545824624699742,9.640566415062706,-4.712517030365461,9.217934084607364
94,183,-3.215247658389162,5.555806067548662,0.5401417584452188,5.74221390683045
96,83,-3.7462897259624004,17.683354463098006,-6.508565369864497,12.999994359286344
106,50,-1.853680866075368,9.987332269823751,-2.0565383353439115,7.689271615796897
128,64,-1.5726790181943027,11.783544622353315,-7.366192707350519,11.679464224555145
134,450,-2.201451239701276,11.39375766954507,-5.065487444438979,11.60629139563893
135,104,-2.5145481950938295,11.028401142960627,-2.552790218140574,11.936468962026035
136,307,-2.3675660361337942,10.5486954313242,-5.961408369971047,10.453538235660275
150,61,1.1634399414311563,13.929135295211838,-3.2054635174054185,10.12546723737463
153,60,0.43039442513915405,9.906766775230935,-3.87137300012651,10.717996856674333
188,306,-0.8941866603249556,15.161550430207472,-8.012656318662799,13.477468497311639
214,82,-1.5730044525963685,5.549255560020114,-0.535502974777427,6.019770624778605
219,113,-2.5630034879598087,9.531484355204073,-1.7282347640172284,9.017194251404817
252,91,-0.9109541450276161,5.5405539259979575,1.1277052635190408,5.712021950651459
256,106,-3.2491613294065043,8.622843440453572,-2.315811284709301,8.908591022795212
296,65,-2.275746596771689,5.255669387493513,-0.7798960345101901,6.141559169297394
343,77,-1.2527057863649524,9.468748215328537,-4.225696979122342,9.174780472608425
376,54,-1.6148932037162314,9.04859378621504,-1.1516296432862996,6.603762268184425
384,60,-2.7608656386366857,6.3173101279556505,-1.3587837875591686,7.790489963631113
408,55,-1.9395407850677118,6.3243921055652,-1.7166613213973632,5.738081198882804
410,91,-1.5802306273162303,4.559827588680291,-1.0504380694380209,5.341083325654291
430,63,-2.0714042346012542,8.041062283870833,-1.7502220760776994,6.80788075084306
455,88,-2.114760894820692,6.754440286909351,-3.2261719665729087,7.032893254914561
479,80,-1.6629587044287846,5.793779577698882,0.36273813553577655,6.015569112631444
500,140,-1.7712636723354793,5.762116367224975,-1.0181318358335258,6.55491769350858
531,101,-4.095855620789501,7.527513852356531,-3.2020239617284787,7.176144537078585
