apogee_id,ra,dec,tic_id,Tmag,R_star,M_star,Teff_tic,n_lc_sectors_actual,TEFF,LOGG,FE_H,SNR,n_sectors_predicted
2M19403140+7017111,295.130854,70.286423,,,0.7787202280515638,0.8883733302494201,4743.549,48,4743.549,4.6058326,-0.050756,419.5409,48
2M16573739+6051483,254.405815,60.863419,,,1.8285861813472788,0.9934938131627402,5715.4814,48,5715.4814,3.9129343,-0.34198,167.7583,48
2M19383053+6509456,294.627223,65.162674,,,1.4703767969463215,1.0346567170444914,6115.585,48,6115.585,4.119939,-0.50153,229.6476,48
2M19480336+7019122,297.014036,70.320061,,,1.3695110845965888,1.0073741525324258,5849.1875,48,5849.1875,4.1700597,0.124,169.56953,48
2M16573813+6027201,254.408915,60.455589,,,1.3784930426851938,1.0087363177058022,5862.3755,48,5862.3755,4.1649685,0.31991,575.73615,48
2M19395789+6509005,294.991245,65.150154,,,1.569744131951346,1.0520363273600135,6287.7524,48,6287.7524,4.070373,-0.14677,199.47852,48
2M16584441+5817239,254.685059,58.289982,,,1.0139103825007785,0.9812137841136306,5598.224,48,5598.224,4.4197645,0.13226,196.05208,48
2M18464473+5923422,281.686394,59.395081,,,1.4837294754820054,0.9887806269790397,5670.362,48,5670.362,4.0923905,-0.41247,210.86948,48
2M18465371+5652577,281.7238,56.882706,,,1.7514811857947494,1.0501514904187033,6268.9883,48,6268.9883,3.974441,0.037081,213.43857,48
2M18481299+6634361,282.054136,66.576706,,,1.6560722961195686,0.9925865456854978,5706.785,48,5706.785,3.9986098,0.23181,301.45334,48
2M18414592+5818402,280.441346,58.311192,,,1.107980615610195,0.989249466543058,5674.8438,48,5674.8438,4.3462415,0.098014,192.18648,48
2M17553997+5747197,268.916548,57.788807,,,2.0524470834443824,1.028677256104043,6056.7935,48,6056.7935,3.8277352,-0.023323,276.9966,48
2M16271320+6258050,246.805038,62.968075,,,0.7669576898298923,0.8631643846057948,4521.3354,48,4521.3354,4.6065507,0.043131,199.72188,48
2M16353404+7409513,248.891839,74.164268,,,1.11611279104715,1.0421385724983705,6189.468,48,6189.468,4.3625093,0.053725,335.55292,48
2M18411669+6024358,280.319546,60.409958,,,0.9623080035375116,0.9818670719256118,5604.4375,48,5604.4375,4.4654245,-0.17398,246.4688,48
2M18412939+6018105,280.372499,60.302921,,,1.4457249943053008,1.023051222581722,6001.6846,48,6001.6846,4.129726,-0.59012,502.25552,48
2M18425738+5956205,280.739092,59.939053,,,1.3721476854986638,1.0178896883229844,5951.303,48,5951.303,4.172899,-0.37095,278.33835,48
2M18431359+5653462,280.806629,56.896168,,,1.8310942090319036,1.031523385622238,6084.749,48,6084.749,3.9280577,0.065234,310.29346,48
2M18425217+7153082,280.717384,71.885628,,,1.6646671760776872,0.931956050846232,5137.714,48,5137.714,3.9667406,0.32873,178.82352,48
2M16175444+6653486,244.476859,66.896851,,,1.5193931084638188,1.0554904409478603,6322.1973,48,6322.1973,4.100114,0.16252,184.09535,48
2M16175444+6653486,244.476859,66.896851,,,1.4383278873113865,1.0506019483777347,6273.4707,48,6273.4707,4.1457224,0.11571,217.43849,48
2M19385368+6502447,294.72368,65.045769,,,1.266404437514571,1.028626354639626,6056.294,48,6056.294,4.2471128,0.14929,273.2171,48
2M19381719+6608049,294.571625,66.134705,,,0.7841341309762173,0.8710151632376109,4590.0815,48,4590.0815,4.591245,0.041177,161.84033,48
2M16590307+6106298,254.762822,61.108295,,,0.9842226265570274,1.0040933477971223,5817.4727,48,5817.4727,4.4555874,-0.094386,245.7556,48
2M16590373+6108498,254.765555,61.147194,,,1.861111235090386,1.0400271140462778,6168.5815,48,6168.5815,3.9175,-0.042958,752.9098,48
2M19373633+6351220,294.401378,63.856125,,,1.849089776685128,1.037378863225891,6142.425,48,6142.425,3.9220214,-0.12487,258.62268,48
2M19374791+6610463,294.449633,66.179535,,,0.9928452717646726,0.9562713485705523,5363.0615,48,5363.0615,4.426818,0.043628,225.87766,48
2M19375361+6504258,294.473416,65.073853,,,0.9225083754799712,0.9782314824972137,5569.894,48,5569.894,4.500501,-0.23187,243.60962,48
2M19381493+7033548,294.562229,70.565224,,,1.0615778558323201,0.9558223940288373,5358.8657,48,5358.8657,4.3684735,-0.11273,211.26717,48
2M19373908+6616380,294.412844,66.277229,,,1.5610481436529182,1.0113463102408555,5887.6777,48,5887.6777,4.0580673,-0.14056,205.42856,48
2M16590373+6108498,254.765555,61.147194,,,1.8061164131554048,1.0425768530243993,6193.807,48,6193.807,3.9446166,-0.029817,605.8097,48
2M16590801+6044459,254.783383,60.74609,,,1.246088884539187,1.0221580282222076,5992.954,48,5992.954,4.25842,0.11257,212.31494,48
2M16581296+6503094,254.554034,65.052635,,,1.2440828366654642,1.0157744792238514,5930.7056,48,5930.7056,4.2570987,0.11272,217.12457,48
2M17023124+5913040,255.630187,59.217785,,,1.277789977712686,0.9905384877529192,5687.1733,48,5687.1733,4.2229524,0.30249,388.20923,48
2M19352793+7045182,293.866396,70.755066,,,1.8612645316066871,1.003340176533246,5810.2017,48,5810.2017,3.901832,-0.27905,266.402,48
2M19495132+7022250,297.463839,70.373634,,,1.2487397873014785,1.0551086872633526,6318.3867,48,6318.3867,4.2703533,0.22204,184.7797,48
2M16245967+6241380,246.248625,62.693913,,,1.0263264536786345,1.0106622540232593,5881.042,48,5881.042,4.422035,-0.15505,182.38159,48
2M17025603+5914217,255.733483,59.239384,,,0.804974474815856,0.8931599049394482,4786.2227,48,4786.2227,4.579365,0.10272,159.6909,48
2M18432150+5639287,280.839605,56.657982,,,0.9365534942725567,0.8965554958356703,4816.588,48,4816.588,4.449512,-0.43473,204.26276,48
2M17533333+5700033,268.388905,57.000931,,,0.8602839892496833,0.9027462242048988,4872.1465,48,4872.1465,4.526282,0.10521,177.49493,48
2M18432407+5954586,280.850298,59.916302,,,1.4265215909261963,1.049604535039915,6263.5474,48,6263.5474,4.152469,-0.045105,252.32921,48
2M17543857+5704214,268.660718,57.07262,,,1.7295711194637662,1.031477002603231,6084.293,48,6084.293,3.9775827,-0.1507,159.28642,48
2M18461955+5925445,281.581486,59.429043,,,0.8940695437554705,0.9585480808547545,5384.3594,48,5384.3594,4.5188713,-0.045321,168.64162,48
2M17532219+5640300,268.342483,56.675014,,,1.7464317178304085,1.0451483046733088,6219.289,48,6219.289,3.9748747,0.032262,218.78755,48
2M17533333+5700033,268.388905,57.000931,,,0.8612279302441646,0.9026579505210756,4871.3525,48,4871.3525,4.525287,0.098717,202.85777,48
2M18461955+5925445,281.581486,59.429043,,,0.9077690898497689,0.9595510417617602,5393.7524,48,5393.7524,4.5061173,-0.050767,251.35558,48
2M17004013+6026044,255.167222,60.434566,,,0.95847961250995,1.003687369933796,5813.553,48,5813.553,4.4784327,0.0078168,495.25262,48
2M17035102+5719091,255.9626,57.319206,,,0.9816313007982962,0.9859332113461973,5643.173,48,5643.173,4.4499507,-0.68768,260.92676,48
2M17035291+5721555,255.970495,57.365429,,,1.4121418758683877,1.014580856683512,5919.095,48,5919.095,4.14653,0.070802,252.27011,48
2M17032344+6457574,255.847687,64.965965,,,1.162021051209578,1.016914386976595,5941.8022,48,5941.8022,4.3168564,0.01892,248.55142,48
2M19502464+7101117,297.602702,71.019943,,,1.4136729926393201,1.0600211297672102,6367.492,48,6367.492,4.1646166,0.040746,161.22264,48
2M19502802+7018188,297.616773,70.305244,,,1.7447278829055437,0.9377291214790527,5190.8667,48,5190.8667,3.928622,0.16346,285.83798,48
2M19503843+7054114,297.66014,70.903168,,,1.1797075163153827,1.0063382796226747,5839.1665,48,5839.1665,4.2991953,0.23784,176.52063,48
2M19332414+7053426,293.350598,70.895187,,,1.962523481063707,1.0507108654234616,6274.5547,48,6274.5547,3.8758535,0.246,255.80295,48
2M19335175+7405594,293.465635,74.099854,,,0.9360356602403574,0.9823926144632539,5609.438,48,5609.438,4.4897003,-0.2924,395.6187,48
2M19330779+7006422,293.282494,70.111748,,,1.0520573812134977,0.9924909501655408,5705.869,48,5705.869,4.3926477,-0.055535,438.00186,48
2M17030648+6501097,255.777,65.019371,,,0.9398297300701524,1.0019114926042252,5796.4194,48,5796.4194,4.494731,-0.46468,214.73651,48
2M19342740+6622279,293.614169,66.374435,,,0.9237220211103526,0.9837193049345366,5622.0693,48,5622.0693,4.5017886,-0.26544,195.18047,48
2M19312249+7049560,292.843745,70.832245,,,1.8248021161130914,1.0611787673361788,6379.086,48,6379.086,3.943357,-0.48424,154.19695,48
2M17055571+5731519,256.482148,57.531105,,,1.7628804183419424,1.0420066905580814,6188.1626,48,6188.1626,3.9654248,-0.15438,215.77698,48
2M17052393+5734337,256.349737,57.576031,,,1.6759533027721718,0.9647869653750194,5442.8945,48,5442.8945,3.9759076,-0.0262,348.59177,48
2M17052622+5742441,256.35928,57.712276,,,1.4560702467612114,1.0248413862418888,6019.198,48,6019.198,4.124292,0.041438,176.58385,48
2M17054755+6123218,256.448142,61.389393,,,0.9457726189642313,0.9767307783055484,5555.66,48,5555.66,4.4782014,0.16887,159.19743,48
2M17053037+6129064,256.376548,61.485126,,,1.2055529620261607,0.9915759595297237,5697.1045,48,5697.1045,4.2739534,-0.10768,196.78647,48
2M17055571+5731519,256.482148,57.531105,,,1.7839633914386044,1.0548856294077165,6316.1606,48,6316.1606,3.9604335,-0.050013,248.52037,48
2M17055963+5743365,256.49849,57.726833,,,0.8547586091390992,0.9376405207921218,5190.0493,48,5190.0493,4.5483494,-0.25359,150.18056,48
2M17050530+6509514,256.272103,65.164284,,,1.047495063372365,1.004119889926747,5817.729,48,5817.729,4.4014816,0.064529,658.3635,48
2M16380422+7403012,249.517603,74.050339,,,1.296265815318989,1.0341228543281704,6110.3267,48,6110.3267,4.229184,-0.093683,174.30959,48
2M17384440+7645127,264.685003,76.753532,,,0.8157424764784984,0.9116374423933579,4952.3857,48,4952.3857,4.576716,-0.12646,157.32988,48
2M17050048+6138524,256.252018,61.647896,,,1.381008631708579,1.0052284837988261,5828.438,48,5828.438,4.161872,0.16659,155.54707,48
2M17050186+6141490,256.25777,61.696968,,,0.8385349196731181,0.9346900205706871,5162.8584,48,5162.8584,4.5636253,-0.036766,184.39633,48
2M17050186+6141490,256.25777,61.696968,,,0.8427032466810783,0.9335419412135545,5152.2935,48,5152.2935,4.5587845,-0.041902,224.05028,48
2M19321727+7026274,293.071967,70.440971,,,1.2493681334810367,1.0365910366043782,6134.6523,48,6134.6523,4.2622266,-0.22726,369.5923,48
2M17044195+5718572,256.174809,57.315899,,,0.9686372098097273,0.9641255598521349,5436.677,48,5436.677,4.4518113,0.1957,409.81516,48
2M19281895+7455595,292.078966,74.933212,,,0.8194230367808989,0.9285928569018052,5106.85,48,5106.85,4.580809,-0.10058,158.80006,48
2M17082578+6118577,257.10745,61.316055,,,1.03379820411117,0.9992785076735966,5771.0537,48,5771.0537,4.410815,-0.044595,461.74673,48
2M19272992+7512144,291.874689,75.204025,,,1.2218309311958158,1.010739481842517,5881.791,48,5881.791,4.270617,0.095501,218.8112,48
2M17072401+6200024,256.850072,62.00069,,,1.1354303917153252,1.0219814884940384,5991.229,48,5991.229,4.339122,-0.15065,203.51611,48
2M19510829+6545443,297.784574,65.762314,,,1.058163662827392,1.0067809461274377,5843.448,48,5843.448,4.3938293,-0.37364,207.54756,48
2M19512078+6555579,297.836624,65.932777,,,1.201785669369812,0.9839312224477442,5624.088,48,5624.088,4.2733107,-0.16811,271.0479,48
2M19514643+7100087,297.943469,71.002441,,,0.9093600821945198,0.9480511568009943,5286.4463,48,5286.4463,4.49936,0.17813,168.91582,48
2M19515616+7029139,297.984002,70.487213,,,1.1187571482866516,1.0112998585717274,5887.227,48,5887.227,4.3474083,0.14054,253.3143,48
2M19282703+7510177,292.112661,75.171585,,,1.6452938548460063,1.0356427070703096,6125.3013,48,6125.3013,4.022723,-0.0076959,190.40681,48
2M17072401+6200024,256.850072,62.00069,,,1.3131692590884432,1.0105444353543591,5879.8994,48,5879.8994,4.207914,-0.21055,195.17197,48
2M17091482+6152119,257.311777,61.869999,,,1.5378085783574034,1.0640110994117382,6407.488,48,6407.488,4.0931416,-0.08379,195.43459,48
2M19265521+7502035,291.730059,75.034317,,,1.931464342901229,1.0592400422017845,6359.674,48,6359.674,3.893221,-0.1621,436.51324,48
2M17091463+6012555,257.310959,60.215439,,,1.3400692129864011,1.0571447552107671,6338.721,48,6338.721,4.20988,-0.10289,245.7559,48
2M17093014+6151202,257.375595,61.855629,,,0.8066131942386201,0.8999671211337626,4847.174,48,4847.174,4.580896,-0.027165,167.64386,48
2M17084962+6123161,257.206759,61.387817,,,0.9287528111853556,0.9750419085220654,5539.6587,48,5539.6587,4.493223,-0.1505,160.55162,48
2M19265521+7502035,291.730059,75.034317,,,1.853621991521547,1.0631490284213572,6398.838,48,6398.838,3.9305518,-0.10836,327.12695,48
2M19260625+6022149,291.526083,60.370815,,,1.060245299470156,0.9991944461879664,5770.2446,48,5770.2446,4.3888373,-0.18829,160.14682,48
2M17082219+6150134,257.092471,61.837067,,,0.9414283632773135,0.9932714604352376,5713.3496,48,5713.3496,4.4894934,-0.4793,151.80692,48
2M17074318+6139165,256.929923,61.65461,,,1.580380560757942,1.0015648121745262,5793.077,48,5793.077,4.0431557,-0.25153,421.16003,48
2M19234514+6130041,290.938107,61.501141,,,1.9288446498341119,1.0753194506215087,6521.388,48,6521.388,3.900943,-0.20194,335.46,48
2M16442571+6142517,251.10713,61.714363,,,1.5260754680338777,0.9919985151116156,5701.1514,48,5701.1514,4.069359,0.083575,167.93321,48
2M17091482+6152119,257.311777,61.869999,,,1.433148119564548,1.0718214800269448,6486.07,48,6486.07,4.1575403,-0.015946,193.47804,48
2M17100477+6225188,257.519894,62.42189,,,0.8737400210104099,0.9307052364568983,5126.2266,48,5126.2266,4.5260477,-0.12387,317.54434,48
2M17100477+6225188,257.519894,62.42189,,,0.8659986682850568,0.9322801735392306,5140.6924,48,5140.6924,4.534512,-0.12074,381.0306,48
2M17104630+5842445,257.692919,58.712383,,,1.4878725828620505,1.0356332421554395,6125.208,48,6125.208,4.1100745,-0.16929,404.23776,48
2M18535647+6636366,283.485304,66.610176,,,1.0102377887237053,0.985866749194275,5642.539,48,5642.539,4.424971,-0.37869,166.61214,48
2M17102056+6021246,257.585689,60.356846,,,1.2593218818213607,1.0050049466019617,5826.278,48,5826.278,4.2418947,0.17841,157.63239,48
2M19245988+6126018,291.249527,61.433853,,,1.7020554767579905,1.0713459266554144,6481.2744,48,6481.2744,4.0079823,-0.017655,514.14734,48
2M17111559+5848253,257.814988,58.807034,,,0.7925835000272669,0.893706782597949,4791.108,48,4791.108,4.593105,-0.22307,202.0675,48
2M16213549+6809401,245.397903,68.16114,,,0.8864225327521399,0.9361188156103749,5176.0186,48,5176.0186,4.5160494,0.014897,152.99883,48
2M17113484+6210305,257.895197,62.175163,,,1.4752468225310678,0.9969224492898292,5748.3936,48,5748.3936,4.100932,-0.032594,281.9712,48
2M19530321+7029035,298.26338,70.484322,,,0.9652454998573053,1.0195712274855047,5967.6978,48,5967.6978,4.479142,0.16174,151.45836,48
2M19532524+7045399,298.355193,70.761108,,,1.5031679709370098,1.0292456181718634,6062.372,48,6062.372,4.098504,-0.22123,259.1934,48
2M17114257+5903460,257.927389,59.062786,,,1.6626259231447456,1.070464070920294,6472.3853,48,6472.3853,4.027983,0.10192,343.16632,48
2M17114257+5903460,257.927389,59.062786,,,1.6603301650120708,1.05345555252139,6301.896,48,6301.896,4.0222273,-0.010331,384.4268,48
2M19204848+7416261,290.202015,74.273933,,,1.8707146157629497,0.9770922727967967,5559.0874,48,5559.0874,3.8859205,-0.14342,238.32703,48
2M17114025+6148349,257.917721,61.809708,,,2.178081333122726,1.0894813140990074,6665.159,48,6665.159,3.8010716,-0.069247,843.4865,48
2M17110011+6222258,257.75047,62.373844,,,1.3279747079429596,1.0294294950656455,6064.1772,48,6064.1772,4.206217,-0.042364,407.6357,48
2M19232379+7510102,290.849134,75.169525,,,1.1759254507043448,1.0275360792144157,6045.599,48,6045.599,4.3110375,0.077482,305.01028,48
2M17130293+6053521,258.26223,60.897812,,,0.7707005804552833,0.8680102870328666,4563.72,48,4563.72,4.6047535,-0.053819,243.09598,48
2M17130293+6053521,258.26223,60.897812,,,0.7657849761830758,0.8688653608009069,4571.2153,48,4571.2153,4.6107388,-0.040648,213.61949,48
2M16430739+7341527,250.780794,73.69799,,,1.5273725985625433,1.053707302804396,6304.4062,48,6304.4062,4.09483,0.13841,417.01416,48
2M19215219+6054190,290.467483,60.9053,,,1.3846455669180824,1.0465713438926274,6233.4087,48,6233.4087,4.1770916,-0.017765,268.27728,48
2M16253240+6238452,246.385018,62.645889,,,1.186062409377413,1.0090911179370077,5865.8125,48,5865.8125,4.2957153,0.22012,206.04634,48
2M19195218+6149234,289.967451,61.823174,,,0.8915050729642656,0.8978889721543335,4828.5337,48,4828.5337,4.492975,-0.09172,208.11041,48
2M19555083+7022509,298.961813,70.380806,,,0.8614330260517186,0.9456208423502226,5263.8794,48,5263.8794,4.545274,-0.37831,167.46825,48
2M19184372+7412576,289.682187,74.216003,,,1.8580169633726842,1.043989544899718,6207.801,48,6207.801,3.9205968,-0.00014066696,166.14023,48
2M19183248+7418559,289.635337,74.315529,,,1.2619944185092236,1.0010640566992797,5788.2505,48,5788.2505,4.238347,0.23895,153.83742,48
2M17140787+5602316,258.532813,56.042133,,,0.914472553608225,0.9567761716435339,5367.781,48,5367.781,4.498469,-0.096,279.62216,48
