name,ra,dec,tic_id,Tmag,R_star,M_star,Teff,n_sectors,baseline_d,n_pts,rms_ppm,P_d,dur_h,depth_ppm,T0_BTJD,sde,R_p_Rearth,a_AU,T_eq_K,is_systematic_period,proc_time_s,status,centroid_offset_arcsec,centroid_sigma,centroid_direction_R,centroid_verdict,eb_screen_verdict,eb_n_pass,eb_n_inconc,eb_n_fail,eb_sde_ratio_2P_1P,eb_oddeven_sigma,eb_posfrac,eb_duration_ratio,eb_companion_RJup,eb_secondary_ppm
2M17535536+5648366,268.480676,56.810181,,,0.8003742875477454,0.8750701235150465,4625.7515,7.0,270.65355440315216,103195.0,2333.301022858869,58.93489073145535,4.800000000000001,1869.3338567240385,1791.5025957332998,4.567907323155356,3.77884607950203,0.2834887251226258,374.7955214592614,False,21.225594758987427,no_signal_SDE_4.6,,,,,,,,,,,,,,
2M17535686+5641478,268.486925,56.696636,,,0.8855318127002881,0.9436638875583624,5245.736,11.0,325.951379327792,166849.0,1754.8442686526737,110.75741305003244,4.800000000000001,1949.8241072723315,1748.9347819409916,4.171545004405782,4.269967052745322,0.4427183240665577,357.74880438257804,False,59.686267137527466,no_signal_SDE_4.2,,,,,,,,,,,,,,
2M17535686+5641478,268.486925,56.696636,,,0.8884968388683665,0.947003914053326,5276.7173,11.0,325.951379327792,166849.0,1754.8442686526737,110.75741305003244,4.800000000000001,1949.8241072723315,1748.9347819409916,4.171545004405782,4.284264183426168,0.4432400316373319,360.2514256026196,False,30.554943561553955,no_signal_SDE_4.2,,,,,,,,,,,,,,
2M16535678+5928010,253.486588,59.466961,,,0.9781778420929916,0.9642122432678566,5437.4917,16.0,1979.471456239073,244195.0,1584.9564795189026,166.66366654666186,3.6,1055.1367217965112,1803.529090313132,5.355901454828354,3.469723186027529,0.5855419555203286,338.89248141434814,False,75.00353217124939,no_signal_SDE_5.4,,,,,,,,,,,,,,
2M19444153+6546503,296.173053,65.78064,,,1.1685298250555096,1.0330187473794632,6099.4575,4.0,298.9251526011449,60007.0,1468.435767233995,0.6524157747627767,4.800000000000001,60.55950836918244,1683.5992483405769,4.50650468981676,0.9930099734138742,0.0148819173026002,2606.2441209268704,True,44.90601563453674,no_signal_SDE_4.5,,,,,,,,,,,,,,
2M16521938+6019143,253.080759,60.32066,,,0.7934384863223984,0.8978914267553302,4828.5557,26.0,1979.4716215593144,401432.0,2024.1939242609456,173.90943637745508,1.92,1491.031641858365,1813.7540111524524,6.52251366466442,3.345640946628896,0.5882517442641123,270.41183216914965,False,96.7008571624756,no_signal_SDE_6.5,,,,,,,,,,,,,,
2M16513518+5934383,252.896618,59.577316,,,1.5406691117922138,0.9910276037487048,5691.8545,16.0,1979.4715016038967,247871.0,1038.6245477288592,233.04330173206927,3.6,824.0276686756522,1790.0990618767255,7.04909327655504,4.829508238404271,0.7389122227347529,396.3195335084093,False,75.39412546157837,SDE_OK_INCONCLUSIVE,0.0189760753097831,5.396823260229577,0.4354102025086127,INCONCLUSIVE (significant offset but direction scatters across sectors),FLAG_REVIEW,3.0,3.0,0.0,1.0275589433092989,,1.0,0.3044696377877074,0.4308214307229501,-56.98204040527344
2M18075106+5740149,271.962761,57.670815,,,1.4700132227549016,0.992065809705888,5701.796,16.0,1979.4705378505707,234208.0,1012.3530000693744,152.86077443097722,4.800000000000001,501.3107281864658,1691.3997765190643,5.259097940675357,3.594159771854747,0.5580212206280293,446.2521935921494,False,84.9189224243164,no_signal_SDE_5.3,,,,,,,,,,,,,,
2M16502308+5951503,252.596206,59.863991,,,1.3485087761084051,1.0036291214589543,5812.9907,16.0,1979.4715642230003,245914.0,1154.3549202014233,197.31347253890155,4.800000000000001,502.15265331311343,1800.4540298912082,6.139765886145348,3.299850742231608,0.6641029788488698,399.4314237239163,False,76.55102586746216,no_signal_SDE_6.1,,,,,,,,,,,,,,
2M16515141+5856317,252.964237,58.942162,,,0.9936377235935588,0.9958573714024088,5738.1616,23.0,1979.471389192841,352248.0,1598.8053607212016,193.2314892595704,4.800000000000001,1238.399460272679,1791.344112764555,6.009597917237833,3.818397056700798,0.6532170296048461,341.2647936778977,False,104.66377663612366,no_signal_SDE_6.0,,,,,,,,,,,,,,
