name,P_d,sde,depth_ppm,R_p,T_eq,R_star,M_star,n_pass,n_inconc,n_fail,verdict,sub1_sderatio,sub1_verdict,sub2_oddeven,sub2_verdict,sub3_posfrac,sub3_verdict,sub4_duration,sub4_verdict,sub5_companionR,sub5_verdict,sub6_secondary,sub6_verdict
CPD-63   349,190.486879475179,8.265383836052791,444.2151470070915,2.111933783833853,328.0621517955855,0.917616,1.03,6,0,0,SURVIVED,0.5593124407447777,PASS,1.4440571785443095,PASS,1.0,PASS,0.7055484152611449,PASS,0.18839730453468806,PASS,-84.40017700195312,PASS
HD 271308,34.2689733097235,7.466245592379892,282.3562350065999,2.8251802174976817,799.7883355300604,1.53966,1.23,5,1,0,SURVIVED,0.6449514024787405,PASS,0.11745454722508014,PASS,1.0,PASS,0.2804171575650547,INCONC,0.25202321297927577,PASS,33.14018249511719,PASS
BD-02  3362,72.04948197927916,7.034965587400083,664.1781931413259,3.1005879998551347,515.0068577813969,1.10174,1.121,2,4,0,FLAG_REVIEW,1.050800063056439,INCONC,,INCONC,1.0,PASS,0.2426556236517493,INCONC,0.2765912577926079,PASS,259.816650390625,INCONC
2M19435208+7105023,169.68772750910034,7.587509907326576,1024.2190784712204,6.712174128201411,483.4197647869434,1.9206319337530453,0.9796575524736,4,1,1,EB_REJECT,0.36618862048242085,PASS,,INCONC,1.0,PASS,0.037046279947408126,FAIL,0.5987666483676548,PASS,3.0994415283203125,PASS
2M19411319+7024574,39.80219520415631,7.197570107197422,924.9709866581038,3.172984411006799,559.3184167766507,0.9553912176691028,0.9872839787658708,3,2,1,EB_REJECT,0.8620223464450169,INCONC,1.0508348607420386,PASS,1.0,PASS,0.1210722389859057,FAIL,0.28304945682487054,PASS,,INCONC
2M19421409+7052329,210.67722708908357,8.485815015931033,603.8672236710969,4.667765735281028,492.1238377185901,1.7394649586081812,1.0751408635722934,3,2,1,EB_REJECT,0.7866311295967042,INCONC,,INCONC,1.0,PASS,0.15702701049194914,FAIL,0.4163930183123129,PASS,-116.58668518066406,PASS
2M16513518+5934383,233.04330173206927,7.04909327655504,824.0276686756522,4.829508238404271,396.3195335084093,1.5406691117922138,0.9910276037487048,3,3,0,FLAG_REVIEW,1.0275589433092989,INCONC,,INCONC,1.0,PASS,0.30446963778770747,INCONC,0.4308214307229501,PASS,-56.98204040527344,PASS
2M19420596+6546497,5.170826833073322,17.278589031642248,3049.457238039364,7.082972485824166,1066.122532777138,1.1745774059402818,0.9002047186646975,4,0,2,EB_REJECT,0.6818179427318861,PASS,0.22378358753788474,PASS,0.8029197080291971,PASS,1.7535138494405496,FAIL,0.6318441111350727,PASS,1262.9031982421875,FAIL
