name,ra,dec,tic_id,Tmag,R_star,M_star,Teff,n_sectors,baseline_d,n_pts,rms_ppm,P_d,dur_h,depth_ppm,T0_BTJD,sde,R_p_Rearth,a_AU,T_eq_K,is_systematic_period,proc_time_s,status,centroid_offset_arcsec,centroid_sigma,centroid_direction_R,centroid_verdict,n_transits_expected,score_sde,score_sectors,score_n_trans,score_depth,score_HZ,triage_score
CPD-63   349,69.17225,-62.91497,38877496.0,9.5916,0.917616,1.03,5745.0,39.0,2606.387803404933,615948.0,832.4808104412549,190.486879475179,3.6,444.2151470070915,1393.8127501113777,8.265383836052791,2.111933783833853,0.6543281984069632,328.0621517955855,False,181.319236278534,SDE_OK_ON_TARGET,0.006099280893954,4.591579175408244,0.821315415413447,ON_TARGET (significant but <3'' = << 1 TESS pixel),13.682768128628792,0.2530767672105583,1.0,0.7574493115784371,1.0,0.5,3.5105260787889954
2M19421409+7052329,295.558739,70.875832,,,1.7394649586081812,1.0751408635722934,6519.583,27.0,1979.473093895347,427710.0,746.8706435956775,210.67722708908357,3.6,603.8672236710969,1827.5037187978944,8.485815015931033,4.667765735281028,0.7098610855423663,492.1238377185901,False,107.23229956626892,SDE_OK_ON_TARGET,0.0107115191316128,4.4980789085405934,0.7515610212808147,ON_TARGET (significant but <3'' = << 1 TESS pixel),9.395762044363432,0.2971630031862066,1.0,0.6486213395793535,0.9653775921096344,0.0,2.9111619348751945
2M19435208+7105023,295.967009,71.083992,,,1.9206319337530453,0.9796575524736,5583.4336,29.0,1272.173829042329,455067.0,947.7521148845864,169.68772750910034,1.2000000000000002,1024.2190784712204,2525.6430077493496,7.587509907326576,6.712174128201411,0.5957511686390058,483.4197647869434,False,106.86801218986513,SDE_OK_ON_TARGET,0.0354888938864761,4.805129769195001,0.982694860115224,ON_TARGET (significant but <3'' = << 1 TESS pixel),7.497146951738761,0.11750198146531528,1.0,0.5832640156966857,0.8252603071762599,0.0,2.526026304338261
HD 271308,82.443375,-66.04164,287298304.0,9.5629,1.53966,1.23,6287.1,9.0,327.59550942082024,135061.0,870.6990989912659,34.2689733097235,2.4000000000000004,282.3562350065999,1348.8458661283416,7.466245592379892,2.8251802174976817,0.2212291154689573,799.7883355300604,False,82.90457105636597,SDE_OK_ON_TARGET,0.0025731408273817,1.7430912770315683,0.4414780908201439,ON_TARGET (offset not significant),9.559536740713154,0.09324911847597832,0.6,0.6536245644583493,1.0,0.0,2.3468736829343273
BD-02  3362,172.6245,-3.4784722,173108636.0,9.86658,1.10174,1.121,6037.0,3.0,1034.4954223157624,49159.0,971.2363564499216,72.04948197927916,1.2000000000000002,664.1781931413259,1558.1017097299768,7.034965587400083,3.1005879998551347,0.3520159129117091,515.0068577813969,False,26.59739923477173,SDE_OK_ON_TARGET,0.0159307940519439,3.296676884154304,0.8015725895021666,ON_TARGET (significant but <3'' = << 1 TESS pixel),14.358124359773672,0.0069931174800165865,0.2,0.7713984737070935,0.9452739356195581,0.0,1.9236655268066682
2M19411319+7024574,295.304997,70.41597,,,0.9553912176691028,0.9872839787658708,5656.0645,5.0,297.9390862147311,74832.0,2207.774540182458,39.80219520415631,1.2000000000000002,924.9709866581038,1718.5903424637102,7.197570107197422,3.172984411006799,0.2271739679030373,559.3184167766507,False,41.29944062232971,SDE_OK_ON_TARGET,0.0083161325901114,1.9198709109782035,0.6330730325733173,ON_TARGET (offset not significant),7.485493819788589,0.03951402143948446,0.3333333333333333,0.5828136374222077,0.8583430044472987,0.0,1.8140039966423243
