block,field,value,source,note
ID,common_name,HD 28888,SIMBAD,
Gaia-FLAME,age_gyr,6.04879,Gaia DR3,FLAME
Gaia-FLAME,radius_rsun,1.9900023,Gaia DR3,FLAME
Gaia-FLAME,lum_lsun,3.7841847,Gaia DR3,FLAME
Lithium,A(Li)_3D_NLTE,2.25514,GALAH DR4 VAC,3D NLTE
Lithium,A(Li)_upp_lim,,GALAH DR4 VAC,
Lithium,EW_Li_mA,51.371044,GALAH DR4 VAC,
Kinematics,X_kpc,-0.09295778,GALAH DR4 VAC,Galactocentric
Kinematics,Y_kpc,-0.0017396254,GALAH DR4 VAC,
Kinematics,Z_kpc,-0.035719953,GALAH DR4 VAC,height above plane
Kinematics,R_gal_kpc,,GALAH DR4 VAC,guiding radius proxy
Kinematics,U_km_s,-52.336872,GALAH DR4 VAC,
Kinematics,V_km_s,-40.72369,GALAH DR4 VAC,
Kinematics,W_km_s,-11.891901,GALAH DR4 VAC,
Kinematics,eccentricity,0.16495173,GALAH DR4 VAC,orbital
Kinematics,z_max_kpc,0.06341427,GALAH DR4 VAC,max excursion
Kinematics,R_peri_kpc,6.3298373,GALAH DR4 VAC,
Kinematics,R_apo_kpc,8.830573,GALAH DR4 VAC,
Kinematics,J_R,34.399086,GALAH DR4 VAC,radial action
Kinematics,J_Z,0.1352433,GALAH DR4 VAC,vertical action
Kinematics,L_Z,1723.343,GALAH DR4 VAC,ang. momentum
Kinematics,orbital_energy,-160679.39,GALAH DR4 VAC,
