cluster,age_gyr,n_match,n_ba,cl_ba_fe,match_ba_median,rand_ba_median,delta_match,delta_rand,closer,mw_p
ASCC_21,0.0089125054671134,12934,12832,0.11272286623716354,0.03498969227075577,-0.004205871373414993,0.1183980405330658,0.1453467309474945,True,0.0
ASCC_41,0.2137961713919407,5205,4958,0.20579580962657928,0.03416234254837036,-0.005366304889321327,0.17981460690498352,0.2176719605922699,True,0.0
ASCC_67,0.0371535375952047,24844,24775,0.14724914729595184,0.03176920861005783,-0.004329178482294083,0.13643980026245117,0.1691458523273468,True,0.0
ASCC_71,0.1288248533293804,14648,14424,0.058362528681755066,0.0613078698515892,-0.007967531681060791,0.10503906011581421,0.1230664849281311,True,0.0
ASCC_97,0.1122018947073786,20744,20629,-0.005535942502319813,0.038439176976680756,-0.004528120160102844,0.09614601731300354,0.10816426575183868,True,3.9944334e-22
Alessi_5,0.0676082856622264,11025,10918,0.05488189682364464,0.03194636479020119,-0.008342090994119644,0.09815534204244614,0.12238841503858566,True,0.0
Alessi_59,,14773,14309,0.2902962267398834,0.06177924573421478,-0.0066678449511528015,0.2319265753030777,0.3000982403755188,True,0.0
Alessi_8,0.1174896729347291,12222,12202,-0.12252610921859741,-0.08047568053007126,-0.005877383053302765,0.07595668733119965,0.1358414888381958,True,0.0
BH_151,0.0158489249640271,28868,28841,0.05288724601268768,0.014848440885543823,-0.003121364861726761,0.1080242246389389,0.11869935691356659,True,0.0
BH_211,0.4265796312095559,23342,23304,-0.03318500146269798,-0.00348857045173645,-0.005636937916278839,0.09330525994300842,0.11089535802602768,True,0.0
BH_23,0.0288403175645028,16234,15955,0.1620362401008606,0.08503111451864243,-0.007227800786495209,0.1189044862985611,0.18332146108150482,True,0.0
BH_54,0.0087096370470987,4086,4038,0.1414758861064911,0.07670702785253525,-0.008269909769296646,0.1199086382985115,0.17034226655960083,True,0.0
BH_66,0.7244353873869618,27384,27244,0.18460911512374878,0.03258630633354187,-0.005861135199666023,0.16120386123657227,0.1995602697134018,True,0.0
BH_72,0.2238723104986867,11475,11267,0.1443399339914322,0.06723079830408096,-0.004022892564535141,0.12465275824069977,0.16644032299518585,True,0.0
BH_78,0.3388439477987164,18607,18563,0.10492084920406342,0.009579554200172424,-0.004511687904596329,0.12730669975280762,0.1428757756948471,True,0.0
Basel_18,0.0275422906622152,25231,25212,0.030501849949359894,0.022942058742046356,-0.005323104560375214,0.10074923187494278,0.11292369663715363,True,0.0
Berkeley_20,4.786304286528699,12083,11935,0.04481346160173416,0.013965122401714325,-0.006289537996053696,0.09415653347969055,0.11584525555372238,True,0.0
Berkeley_22,2.454710856206481,17006,16766,0.13064615428447723,0.08509256690740585,-0.006882103160023689,0.10424360632896423,0.15695476531982422,True,0.0
Berkeley_32,4.897783461428336,15287,14979,0.1425853967666626,0.06590903550386429,-0.006465960294008255,0.11559286713600159,0.16708451509475708,True,0.0
Berkeley_33,0.2344228197592381,5009,4867,0.09199070185422897,0.046608857810497284,-0.01200111210346222,0.10507102310657501,0.1406252682209015,True,0.0
Berkeley_39,5.62341325190349,24300,24011,0.19876931607723236,0.07202642410993576,-0.004698336124420166,0.14343206584453583,0.21141737699508667,True,0.0
Berkeley_73,1.4125363038976315,12916,12539,0.10544984042644501,0.04021131992340088,-0.004284132272005081,0.10806650668382645,0.1421782225370407,True,0.0
Berkeley_78,3.890452816839944,18347,18015,0.24846923351287842,0.049927107989788055,-0.006181478500366211,0.20235608518123627,0.2590699791908264,True,0.0
Bochum_11,0.0063095762158615,29387,29187,0.14734354615211487,0.0564398393034935,-0.0035618506371974945,0.12542620301246643,0.16833996772766113,True,0.0
Bochum_6,0.006456541439665,14259,13978,0.2600822150707245,0.0554928332567215,-0.007232418283820152,0.21007651090621948,0.26982125639915466,True,0.0
Collinder_115,0.0954992627963111,12073,11653,0.19125553965568542,0.0825984999537468,-0.0048022158443927765,0.1373523324728012,0.20488891005516052,True,0.0
Collinder_135,0.0263026845396328,17582,17226,0.04728865250945091,0.0461542122066021,-0.008648794144392014,0.09537792205810547,0.11772587895393372,True,0.0
Collinder_185,0.0616594947701844,17633,17294,0.19253583252429962,0.06106555089354515,-0.003740798681974411,0.14817321300506592,0.20488059520721436,True,0.0
Collinder_205,0.0045708802901852,26731,26706,0.2244955599308014,-0.01343979500234127,-0.007820717990398407,0.2386825680732727,0.23790675401687622,False,0.17444523
Collinder_220,0.2344228197592381,5437,5411,0.0663745328783989,-0.017395231872797012,-0.0024417750537395477,0.11924393475055695,0.12602746486663818,True,2.3553493e-08
Collinder_261,6.309576215861531,22783,22614,-0.0021320912055671215,0.032762184739112854,-0.0061113592237234116,0.09518544375896454,0.1114974245429039,True,0.0
Czernik_26,0.5248077829311784,19346,19086,0.16680864989757538,0.08020279556512833,-0.006455130875110626,0.12255248427391052,0.1858464777469635,True,0.0
Czernik_30,2.8840317564502844,8522,8216,0.05264733359217644,0.008530475199222565,-0.0057813506573438644,0.09352071583271027,0.1210036426782608,True,0.0
Czernik_39,0.1380385355838289,13830,13819,0.09258060902357101,-0.020899716764688492,-0.003955043852329254,0.12751474976539612,0.13455772399902344,True,5.65571e-17
DBSB_101,0.0112201894707378,6417,6408,-0.02382866106927395,-0.004937691614031792,0.00027921609580516815,0.0873614251613617,0.11028781533241272,True,0.0
DBSB_104,0.0269153374005781,13065,13050,0.015414496883749962,-0.03106975369155407,-0.0061000194400548935,0.08735552430152893,0.11082397401332855,True,0.0
DBSB_43,0.0245470816103821,13986,13814,0.0648297518491745,0.05717724934220314,-0.005133176222443581,0.10555924475193024,0.12470778822898865,True,0.0
DBSB_60,,26940,26745,-0.06659357249736786,0.07172995060682297,-0.003935601562261581,0.14593252539634705,0.11570778489112854,False,1.0
DC_5,,22804,22612,0.14766444265842438,0.05758406221866608,-0.006917078047990799,0.12478023767471313,0.1707049310207367,True,0.0
Danks_1,,26029,25944,0.26101183891296387,0.02683349698781967,-0.006880471482872963,0.23570336401462555,0.271860808134079,True,0.0
