cluster_name,fe_h,mg_fe,mg_pred,mg_resid,mg_zscore,off_locus,age_gyr,age_bin,C_O_std,ra_cl,dec_cl,dist_cl,si_fe,al_fe,ba_fe,eu_fe,mn_fe,ni_fe
ASCC_16,-0.0891607157592592,0.033851250537037,0.0236511354118115,0.0102001151252255,0.3128127908437759,False,0.0134896323805684,<0.1,0.14,81.198,1.655,0.3523608174770965,0.031711426274074,0.0875099612222222,0.0159328952431678,0.2390760481357574,-0.0353233478963375,0.0350805185735225
ASCC_21,-0.1563189800173913,0.0809509042721739,0.0354342224708266,0.0455166818013473,1.395886231618659,False,0.0089125054671134,<0.1,0.0831,82.179,3.527,0.34891835310537334,0.1009954578695652,0.1191961203347826,0.1127228662371635,0.2807877361774444,-0.0304888375103473,0.0471037253737449
ASCC_29,-0.152435108942857,0.0227017165357142,0.0347009942743761,-0.0119992777386619,-0.3679887443875717,False,0.0933253849940474,<0.1,0.1163,103.571,-1.67,1.0593220338983051,0.0876171890714285,0.0261098731642857,0.1672107428312301,0.1674398183822631,-0.0359271392226219,0.0285014510154724
ASCC_32,-0.0475115042499999,0.06790404525,0.0172987688085331,0.0506052764414668,1.5519410870106254,False,0.0251188698309886,<0.1,0.1439,105.714,-26.512,0.8130081300813008,0.0792922690875,0.127751804375,0.0165743231773376,0.22902312874794,-0.0365070924162864,0.0669971704483032
ASCC_41,-0.190494596,0.0263119515999999,0.0421602998962967,-0.0158483482962967,-0.4860304025950061,False,0.2137961713919407,0.1-0.3,0.0356,116.674,0.137,0.2983293556085919,0.1273524836,0.043170773,0.2057958096265792,0.1337392032146453,-0.0872919261455535,0.0334995798766613
ASCC_58,-0.0392040588285714,0.0101502883928571,0.0161191778019479,-0.0059688894090907,-0.1830513608300341,False,0.0524807206714521,<0.1,0.1192,153.657,-55.001,0.4854368932038835,0.0904758621428571,0.086243,0.0875314101576805,0.198344811797142,0.0023028010036796,0.0548906587064266
ASCC_66,-0.1348579364666667,0.0506568107141666,0.0314621376229512,0.0191946730912154,0.5886540676534051,False,0.0588843629494562,<0.1,0.1407,168.367,-55.437,1.001001001001001,0.0862762184166666,0.06356561775,0.1155989691615104,0.1069938987493515,-0.009823047555983,0.0464134700596332
ASCC_67,-0.0071123293333333,0.0192491949166666,0.0118356489695347,0.0074135459471318,0.2273554728843917,False,0.0371535375952047,<0.1,0.0745,175.28,-61.013,2.074688796680498,0.0623789131166666,0.0704234199166666,0.1472491472959518,0.1564118713140487,-0.0121443895623087,0.0425954759120941
ASCC_71,-0.0711594095384615,-0.0105062629384615,0.0208158463035559,-0.0313221092420174,-0.9605731196972616,False,0.1288248533293804,0.1-0.3,0.0806,185.033,-67.509,1.272264631043257,0.0704836386923076,0.121336069,0.058362528681755,0.1518816798925399,-0.044548112899065,0.032163880765438
ASCC_73,-0.169497145,-0.036794881,0.0379694894120544,-0.0747643704120544,-2.2928419019932824,True,0.3388439477987164,0.3-0.5,0.0958,189.281,-67.203,0.6587615283267457,0.09818873,0.2407966885,0.0439855679869651,0.1098457351326942,-0.0622589588165283,0.0303266271948814
ASCC_77,0.02311151965625,0.06913223814375,0.0081983818727065,0.0609338562710434,1.868693578749892,False,0.0812830230578909,<0.1,0.1084,212.694,-62.331,1.187648456057007,0.0727156205375,0.06654677526875,-0.1114221960306167,0.1223808005452156,0.0582915395498275,0.0789803117513656
