name,P_d,pp_ppm,resid_sine,resid_two,resid_box,best_model,amp_ratio_2to1,n_sectors
HD 271308,34.2689733097235,79.15496826171875,1.2471951234069245e-08,1.2206543850657497e-08,1.295614637797371e-08,sin+2nd,1.03658911135417,9
2M18464473+5923422,246.0078403136125,50.008296966552734,8.034595111104791e-09,7.910566595816166e-09,9.598039696356864e-09,sin+2nd,1.0389463236088985,39
