cluster,age_gyr,N_template,C_O_std,observed,mc_median,mc_std,enrichment,p_value,significant
UBC_93,0.8128302305789092,37,0.0926,26330,6619.5,8698.491281848823,3.9776418158471185,0.055,False
UPK_12,0.1995263191254866,29,0.0998,7549,6143.5,7866.026326994781,1.2287783836575241,0.445,False
UPK_18,0.7244353873869618,5,0.0592,7753,6178.0,9165.649775491916,1.2549368727743606,0.44,False
UPK_33,0.2818381693478142,13,0.0717,13413,5641.5,7961.891251692339,2.377559159797926,0.255,False
UPK_398,0.0107151982289039,6,0.0847,23915,6042.5,8635.772566128639,3.957798924286305,0.075,False
UPK_4,0.2754226042194985,5,0.0942,26063,6098.0,9560.43348533423,4.274024270252542,0.085,False
UPK_436,0.0257039487966919,16,0.058,16219,5440.5,7997.026336276504,2.981159819869497,0.185,False
UPK_442,0.1698241862446276,15,0.0618,24652,7023.5,9258.373504777986,3.5099309461094896,0.1,False
UPK_457,,13,0.0624,13026,5996.5,7876.870424348429,2.172267155840907,0.275,False
UPK_508,0.1,11,0.077,12418,5085.0,8225.695306240075,2.4420845624385445,0.235,False
UPK_526,0.0309029380386681,9,0.0564,13026,6263.0,8854.483874669093,2.0798339453935815,0.305,False
UPK_549,0.9332548746146908,5,0.0763,26516,6967.0,8652.912039741303,3.8059422994115115,0.03,False
UPK_560,0.323593827469971,25,0.0796,24450,5425.0,8742.696298533994,4.506912442396313,0.075,False
UPK_630,0.1122018947073786,11,0.0894,9413,5866.5,8564.825997946486,1.6045342197221513,0.335,False
vdBergh_80,0.006456541439665,15,0.0891,22975,6368.0,8964.937114692997,3.6078831658291457,0.1,False
vdBergh_85,0.0043651569804287,12,0.0874,16894,5651.0,8060.9410629032645,2.989559370023005,0.155,False
