source_id,ra,dec,pmra,pmdec,parallax,parallax_error,radial_velocity,phot_g_mean_mag,bp_rp,in_galah
4697152329279232,43.077269179067265,3.448467818466149,53.06488062551571,-12.921370406073956,2.194069182161103,0.03543382,29.000837,13.3957,0.86870193,True
44000329336904704,54.39123458754321,16.283434323087263,61.71518739641369,-43.89868487963477,3.1537907727181445,0.022300053,26.036083,13.444375,1.2534704,True
55924567299763712,51.81079111164995,18.275945437500383,74.69255271770795,-39.10175035653051,3.120834968684229,0.015633354,31.106031,13.004679,0.98881435,True
43994763059280640,54.53220889683513,16.30366352033963,50.82942500647988,-12.340118333973487,4.067411329789152,0.016948225,27.693129,10.680936,0.8548584,True
44290188089702144,53.79796826132043,17.079969469397867,59.9010913098208,-33.59811007966994,3.706751974944187,0.015881035,69.04634,13.4294815,1.2836027,True
5168082607675520,43.130378984020034,4.304836940193325,118.3447008480664,-11.67749734541287,7.323443208065412,0.24121602,30.924564,12.2632265,1.3619452,True
18304433356672640,38.65643690543072,5.647212340016705,62.78049628219476,-32.39083548202531,3.6235222643563287,0.017893897,24.67664,13.519712,1.2102566,True
44281357636966528,53.649106884121835,16.91636482866653,54.377894254285735,-31.07155158989607,3.828885110069954,0.01777083,26.321688,13.862479,1.3469553,True
57257175392788096,54.35635716317482,19.77687241756735,52.25592384893547,-20.892771379821262,10.020055654479977,0.015115921,19.148182,12.833123,1.7802467,True
38072278036122880,55.34271060184769,13.080114195248798,53.09510334124743,-25.66526057757595,4.478679032458734,0.017566761,40.634186,11.716052,1.0521183,True
42372124414985216,54.29573061101489,15.340081393566894,109.37749920747376,-23.230277065399154,2.4979502915274816,0.015831387,-45.705063,10.884343,1.180996,True
42716408993806080,53.144360113463925,16.153262423085778,140.88968315469907,-14.446369608778598,20.589572721520184,0.024092358,35.097588,12.962056,2.7410927,True
38125741788932480,55.449986295488,13.560768369710136,53.35471695397789,-15.633276116785485,6.025836334855281,0.014167428,82.43067,12.409902,1.248004,True
42361472896393984,53.448894393672305,15.651250662486811,72.50028245217428,-29.553590832069887,4.71016479284054,0.0129303625,13.623659,13.058249,1.2714815,True
56979754864992896,55.05256407779824,19.239097926873324,79.24537120624677,-16.345929768229,8.920166880253714,0.08703379,13.182664,11.398268,1.3590422,True
65077245686682496,55.78055656725186,23.341671598771644,64.3566716783009,-32.625509869894294,4.926915181637134,0.020067211,-18.362236,12.949486,1.3502226,True
148545743195733888,70.56212255121011,26.79722209460401,65.11247868838166,-37.60892660862941,3.237039319972858,0.074877165,79.04237,13.948853,1.7558165,True
18559382615309312,39.58960247085739,6.9929574175407385,68.05684151857986,-40.12082259005008,1.6548882083864136,0.013604351,-24.716944,13.108109,0.7637024,True
57272534195848448,54.07887213273401,19.851004388254385,85.75034487823132,-23.613618713585346,3.63332204921887,0.014922291,64.08041,13.282526,1.2308044,True
57105477147576704,55.531273263979834,19.54010289480225,51.4544382413399,-28.380580159415672,1.5088902761705818,0.019600227,-27.728416,13.946567,1.2284613,True
61554513510486528,53.26452101462485,22.118916797675826,86.96307128575535,-31.318697424818694,2.763234060751799,0.013215391,68.542885,12.439164,1.2189274,True
44208446272491520,54.25554472711761,16.735751204526007,55.55048243263241,-21.73031219289985,5.851040362994787,0.019896673,6.2890453,10.255887,0.806757,True
66286704180780672,59.727815840257726,25.2196020966507,120.61383003835869,-44.46879362360001,20.212566326984014,0.031523347,34.70969,12.997293,2.4294863,True
67166180339412480,59.70843200793995,25.86397629238111,50.49601127536037,-14.424194337248503,8.452608186493014,0.019560028,3.1481454,9.957486,0.8521004,True
67785548983761536,53.749577735024126,23.304749706631576,56.20097856763452,-22.944718716641063,3.4873566929866446,0.017417774,-86.42428,13.696722,1.1467285,True
42676139380415488,53.37083350788336,16.21910361476891,55.673440414329946,-26.707091716318345,3.935003558346324,0.015576791,46.943825,12.793685,1.0806704,True
54795227122672384,53.35315121738468,17.018949334883327,51.035693428986264,-12.988683141196816,4.5602156300797425,0.023377053,24.226486,12.376157,1.0966539,True
63357403342228608,55.35729333095325,20.515739774705906,63.83047024484412,-19.712437880830187,5.3043139808736175,0.015694821,15.740773,12.843733,1.3835993,True
