pl_name,hostname,pl_orbsmax,obs_geometry,C/O,e_C/O,E_C/O,C_O_star,sigma_star,CCR,sigma_CCR,h_universal_class
GQ Lup b,GQ Lup,100.0,Direct,0.5,0.01,0.01,0.51,0.08,0.00860017176191758,0.06867611780938117,CAPTURE
HD 209458 b,HD 209458,0.04707,Transit,0.56,0.12,0.1,0.54,0.05,0.015794267183231885,0.0943104960148732,CAPTURE
HD 209458 b,HD 209458,0.04707,Transit,0.05,0.032,0.08,0.54,0.05,1.0334237554869496,0.488069210286286,DISK
HD 189733 b,HD 189733,0.0312,Eclipse,0.43,0.05,0.06,0.49,0.06,0.05672762444892715,0.07690072307082955,CAPTURE
HD 189733 b,HD 189733,0.0312,Transit,0.41,0.12,0.13,0.49,0.06,0.0774122233087782,0.1426869726795458,CAPTURE
KELT-20 b,KELT-20,0.0542,Transit,0.1,0.1,0.4,0.55,0.06,0.7403626894942439,1.0867694058053254,DISK
Tau Boo b,Tau Boo,0.04869,Eclipse,0.95,0.31,0.06,0.84,0.06,0.0534443192269661,0.09008285020433196,CAPTURE
Tau Boo b,Tau Boo,0.04869,Eclipse,0.75,0.21,0.26,0.84,0.06,0.04921802267018159,0.1395699890810544,CAPTURE
WASP-19 b,WASP-19,0.01655,Eclipse,0.94,0.03,0.03,0.51,0.07,0.2655576775017623,0.06119927157226777,GRAY_ZONE
WASP-33 b,WASP-33,0.0239,Eclipse,0.8,0.2,0.1,0.55,0.07,0.16272729749769976,0.09841787291839629,GRAY_ZONE
WASP-43 b,WASP-43,0.01504,Eclipse,0.8,0.2,0.1,0.49,0.08,0.21289390696342994,0.10797421180089185,GRAY_ZONE
WASP-43 b,WASP-43,0.01504,Eclipse,0.78,0.09,0.09,0.49,0.08,0.20189852266196673,0.08682541630171432,GRAY_ZONE
WASP-77 A b,WASP-77 A,0.023233633,Eclipse,0.57,0.06,0.06,0.49,0.06,0.06567877564397773,0.07012757961271207,CAPTURE
WASP-94A b,WASP-94A,0.055,Transit,0.49,0.13,0.08,0.53,0.06,0.03407978957227543,0.10525197874272144,CAPTURE
WASP-189 b,WASP-189,0.05053,Eclipse,0.32,0.14,0.41,0.54,0.06,0.22724378150306254,0.3763284027033111,GRAY_ZONE
WASP-121 b,WASP-121,0.025,Eclipse,0.82,0.09,0.05,0.52,0.06,0.1978105087489175,0.06233440429554724,GRAY_ZONE
V1298 Tau b,V1298 Tau,0.1687,Transit,0.22,0.05,0.06,0.53,0.08,0.3818531887785829,0.12682879317683196,DISK
KELT-7 b,KELT-7,0.04415,Transit,0.59,0.16,0.16,0.56,0.06,0.022663984635943695,0.12663365613274777,CAPTURE
