gaiadr3_source_id,ra,dec,gal_l,gal_b,hab_score,s_CO,s_MgSi,s_FeH,s_MgFe,s_SiFe,s_volatile,s_age,C_O,C_O_raw,Mg_Si,fe_h,mg_fe,si_fe,al_fe,ca_fe,ba_fe,age,teff,logg,dist_pc,parallax,rv_comp_1,cct_cluster,cct_distance,dist0,ra_g,dec_g,parallax_g,phot_g_mean_mag,ruwe,non_single_star,dist,has_planet,ruwe_v,G,nss_v,constellation,esp_min_1ms
5926741718143504256,251.76470947265625,-60.29327774047852,328.4308719100776,-9.687624801070154,0.9931944521681076,1.0,0.99993134,0.99146897,0.99899566,0.99966764,0.96514803,1.0,0.27077916,0.31267092,1.0246885,0.039270528,0.006724268,-0.0038675833,0.049071684,0.039954156,-0.016589977,5.9338207,5698.509,3.8788695,278.85100832426787,3.586144464778584,-12.04133,UBC_289,1.67691960475363,278.85100832426787,251.76462699864223,-60.2933812095001,3.5630124646600896,10.611984,0.7781313,0,280.6613813222794,False,0.7781313,10.611984,0,Ara,10.492642089340794
5041407258853950464,20.80270767211914,-23.318527221679688,186.7387953769596,-81.8695661374776,0.992827898389698,1.0,0.987412,0.9955934,0.99893516,0.9847284,0.99998623,1.0,0.24672836,0.37128174,0.9563311,-0.028194591,0.0069241747,0.026315916,0.088045865,0.0277241,0.048689984,6.494504,5541.656,3.8512084,240.1177705469701,4.164623041943441,27.933012,UBC_289,1.6169174663989487,240.11777054697012,20.80251457658963,-23.31869350575403,4.1354720418609485,10.144638,1.1724916,0,241.81036405943235,False,1.1724916,10.144638,0,Cetus,6.82254578851931
5481503177467663744,96.10399627685548,-61.15852737426758,270.4931875171588,-26.7388354808352,0.9889457703991402,1.0,0.9888056,0.99882174,0.99399984,0.9999635,0.9501706,1.0,0.333645,0.49674398,0.95997995,0.014567796,-0.01645659,0.0012812559,0.087946355,0.02950438,-0.02993258,6.210183,5468.514,3.8380132,267.38800519255904,3.7398835421949896,-14.381768,UBC_289,0.8939414519083638,267.38800519255904,96.10389429812332,-61.15833807850019,3.732447542384294,10.428668,0.9220776,0,267.92071118063143,False,0.9220776,10.428668,0,Pictor,8.862545116477039
3633381876733629952,203.45574951171875,-5.21447229385376,322.0856185633053,56.07298993048473,0.979365513130824,1.0,0.9905169,0.99103343,0.9742642,0.9998312,0.8946521,1.0,0.31901422,0.4828919,1.0752183,-0.040264875,0.034253113,0.0027564522,0.08038941,0.03301969,-0.06796205,7.6534243,5467.0366,3.8664544,242.5521596894276,4.122824555676748,-41.207645,Gulliver_50,1.077291772897056,242.5521596894276,203.45550705080888,-5.214554875786478,4.089279557060768,10.378406,1.2514948,0,244.54185292207444,False,1.2514948,10.378406,0,Virgo,8.461622751180327
4652356786039719680,69.43383026123047,-74.00108337402344,286.62480540040696,-34.990842901297746,0.9793495188723798,1.0,0.95145345,0.99978584,0.9995983,0.9394678,0.96375376,1.0,0.18094966,0.3198699,0.8938071,-0.006208338,0.0042520836,0.053008292,0.02420026,-0.00854732,-0.017933276,5.6895175,5514.394,3.8201718,287.5333684402867,3.477857215058065,-3.8853164,NGC_2972,2.277263298895053,287.5333684402867,69.43380585833823,-74.0009721724493,3.469589215431369,10.539841,1.0189608,0,288.2185578489791,False,1.0189608,10.539841,0,Mensa,9.818104699155827
3618243285246354432,205.7098693847656,-8.704500198364258,323.8845641892568,52.06377180756858,0.979190243530924,1.0,0.99911755,0.9024889,0.9977893,0.9992734,0.9956082,1.0,0.32842135,0.456824,1.0368085,0.1358963,0.00997965,-0.0057189185,0.0853073,0.034851536,0.026544124,4.7696424,5534.3516,3.816636,251.91640731069103,3.969570742435565,-33.369987,Teutsch_80,1.7233067044440458,251.91640731069103,205.7097064965105,-8.70453269972291,3.9358177422357694,10.084535,1.0533912,0,254.0768057597969,False,1.0533912,10.084535,0,Virgo,6.4551339551657545
6005184485425467392,228.73545837402344,-40.199249267578125,330.5197802376805,14.862540940707824,0.9752256315604886,1.0,0.9808715,0.9721529,0.8963784,0.9810828,0.99851817,1.0,0.17331368,0.19008183,1.0986155,0.07129926,0.07016172,0.029315993,0.082494736,-0.032164034,0.036385283,7.265514,5746.1816,3.9652708,284.0910526519747,3.519998221221872,44.35529,Ruprecht_145,3.142082509218531,284.0910526519747,228.73543602601248,-40.19950670176064,3.4901972213122323,10.873323,1.2577609,0,286.5167601113451,False,1.2577609,10.873323,0,Lupus,13.348130964317546
6249745970569490944,243.48074340820312,-16.558082580566406,357.3068096684021,24.28542971223095,0.974231901509682,1.0,0.97675794,0.9738821,0.9501814,0.9928631,0.9110482,1.0,0.37032014,0.43556786,0.93325174,0.06901967,-0.04795416,-0.017952967,0.04672511,-0.017486326,-0.05791172,5.874141,5654.1904,3.869169,294.2805770796997,3.398117571752522,-10.5224085,IC_2581,1.3906629387062863,294.2805770796997,243.48066852734783,-16.558151971594597,3.363404571693394,11.061915,0.85568434,0,297.3177857983715,False,0.85568434,11.061915,0,Scorpius,15.880247216941724
5796751749778293632,221.70074462890625,-73.15369415283203,311.15348360977066,-12.150784169715658,0.9703433770199668,1.0,0.98763484,0.98029095,0.93061405,0.87948483,0.98984957,1.0,0.17787546,0.29746258,0.9569007,-0.059858583,0.056885667,0.07601878,0.03387542,-0.015378763,0.085711144,7.3910546,5551.0796,3.8788164,292.3303346162725,3.420787655556343,18.852104,BH_54,2.502721576204708,292.3303346162725,221.70093485229356,-73.1536631544965,3.403295655542753,10.848755,0.90344155,0,293.832831823282,False,0.90344155,10.848755,0,Apus,13.049481590924215
5820179215840908544,233.35366821289065,-69.00900268554688,316.6194462682444,-10.560589688882272,0.9639805933606148,1.0,0.9754671,0.90122825,0.99776,0.99017686,0.9089973,1.0,0.2528098,0.40513584,0.93084604,0.13681895,-0.010045469,0.021076672,0.07432988,-0.046695802,-0.059209198,5.323022,5488.956,3.8310628,289.9062748222317,3.44939067156512,83.039345,NGC_2972,2.1821835572659114,289.9062748222317,233.353906550694,-69.00888502570261,3.4305406709899358,10.642515,1.1421062,0,291.49924047145447,False,1.1421062,10.642515,0,Triangulum Australe,10.791883764409665
