host,planets,pl_R_min,match_gaia_id,rms_dex,sep_deg,match_dist_pc,R_gal_kpc,Z_pc,n_matches
K2-62,"K2-62 c, K2-62 b",1.99,5374548905434283136,0.00503736289777697,164.38765537347462,,,,43157
K2-62,"K2-62 c, K2-62 b",1.99,6502658624485423360,0.00834634729807652,41.19154074487277,729.7344954071417,7.798960346812744,612.8880957735175,43157
K2-62,"K2-62 c, K2-62 b",1.99,3620862596821424768,0.008417475871680465,123.56673356251143,1071.0138964339412,7.587980559353912,890.6204099380155,43157
HD 108236,"HD 108236 f, HD 108236 c, HD 108236 b",1.615,6254753799362605696,0.0042226451498451525,42.314501649330424,1483.8139245061525,6.891778830510534,774.1030366217971,74530
HD 108236,"HD 108236 f, HD 108236 c, HD 108236 b",1.615,6629584288294631680,0.005613634665916252,54.30813349547314,,,,74530
HD 108236,"HD 108236 f, HD 108236 c, HD 108236 b",1.615,4704790915017024768,0.005826683867022253,104.92269720779187,637.3314553339703,7.938318166347826,470.08057914812446,74530
TOI-712,"TOI-712 d, TOI-712 b",2.049,4365030105365366016,0.010457880705372678,91.37690160819744,277.4502720890244,7.873056123454246,116.13777910660079,31929
TOI-712,"TOI-712 d, TOI-712 b",2.049,5302121841132144768,0.013104840394188648,16.22271370849006,,,,31929
TOI-712,"TOI-712 d, TOI-712 b",2.049,2891210565914227712,0.01436905221226402,34.984376554348444,182.61878897104359,8.214912092068646,51.96730960464004,31929
K2-138,"K2-138 b, K2-138 d, K2-138 c",1.51,6137902200384409728,0.004244728833774614,149.56600683109713,342.64155203963145,7.92699747545214,146.27166154945886,18981
K2-138,"K2-138 b, K2-138 d, K2-138 c",1.51,5802451308813874176,0.006608506792552546,109.18534054438443,161.20585338424186,8.009720182267678,34.100451915923195,18981
K2-138,"K2-138 b, K2-138 d, K2-138 c",1.51,5467788758478770432,0.006785967201539145,189.53651534171632,390.7441749779919,8.141618901161015,184.782734394535,18981
WASP-47,WASP-47 e,1.83,6100994073243173760,0.005872645723182024,110.41801964913145,423.7713931466807,7.789127306049164,132.99892663208797,30515
WASP-47,WASP-47 e,1.83,5678332560750614656,0.006213171303310496,185.97557702301833,748.8295311195859,8.386097913934647,301.19986223594657,30515
WASP-47,WASP-47 e,1.83,6225092411621065472,0.006405842469406342,103.44597630868573,501.2270352136956,7.714591457932039,252.21793198050983,30515
K2-338,K2-338 b,1.03,3333401603932765696,0.03713726921146096,37.59590122844708,183.5257662102128,8.292623762990363,14.24643299596805,47
K2-338,K2-338 b,1.03,2640793975187458560,0.050711027285656504,219.29956472956002,829.8332923400716,8.081481404395438,682.5056034472684,47
K2-338,K2-338 b,1.03,606100428987958016,0.05819763556421553,12.499251694218877,219.91868353554108,8.266055541610456,150.5524709735498,47
CoRoT-7,CoRoT-7 b,1.68135,6266758920146014464,0.00890178746831946,135.9405984518727,442.97794788393315,7.743369234449064,246.77843051305496,13561
CoRoT-7,CoRoT-7 b,1.68135,4760399196632288512,0.00902751369734533,65.75617489695685,448.1426148448514,8.116558129691198,238.12325703021003,13561
CoRoT-7,CoRoT-7 b,1.68135,3698910536367172096,0.010188401742038751,80.37164127387572,254.6726853593501,8.103234956572443,242.87907665288216,13561
K2-188,K2-188 b,1.35,3613752089484662272,0.003172280995749516,80.5874102802516,753.4771651092819,7.704808516259789,585.330988490272,137450
