cluster,CO_std,MgFe_std,SiFe_std,AlFe_std,FeH_std,CO_coherent,MgFe_coh,SiFe_coh,AlFe_coh,FeH_coh,age_gyr,coherence_score
NGC 6705,0.07226841372187509,0.015240900023163868,0.012864191526147352,0.04036039558495218,0.04257063226045093,False,True,True,True,False,0.309,0.17967745814407715
Berkeley 18,0.07229340082495397,0.017500360546406028,0.03140644074535433,0.0448698809744489,0.03131325410682545,True,True,False,True,False,4.3652,0.21439377615723515
Berkeley 31,0.07515487199762588,0.006882250035434145,0.018761894918968958,0.08206338897848073,0.022168647530540358,True,True,True,False,True,2.8184,0.17927576535227688
NGC 2324,0.07717548630242585,0.010125984007089448,0.012932489214341545,0.03892591348388718,0.019475237354137684,False,True,True,True,True,0.537,0.14113346528894113
NGC 1245,0.07923404792896929,0.022911154615460835,0.014377023676280682,0.03241378654308091,0.026261361657034056,False,True,True,True,True,1.2023,0.17814345491795897
Ruprecht 147,0.08553306710510335,0.039556048965415445,0.03283123507976525,0.04336179390917986,0.01923838603149376,False,False,False,True,True,3.0199,0.25892111670483514
NGC 7789,0.08645061960782709,0.0252189585054611,0.03882790169346287,0.038981762120806465,0.041872125479943456,True,True,False,True,False,1.5488,0.26859162934326014
IC 348,0.086958491791821,0.03714314254332417,0.024922472340427243,0.029369249268240295,0.11078574088348365,False,False,True,True,False,0.0117,0.3478167356890373
Melotte 20,0.0880293056083299,0.05311859692612665,0.04039895617147319,0.0566738113448925,0.03587924321572331,False,False,False,False,False,0.0513,0.3384986113341822
Melotte 22,0.09003521578164522,0.04627591599683148,0.04258931320489848,0.05327688445821596,0.03672329803309905,False,False,False,False,False,0.0776,0.32881389357173424
IC 166,0.09212139925019999,0.01642162171321636,0.01664838757025239,0.055276554162977456,0.0219336169855012,False,True,True,False,True,1.3183,0.18947555312273287
Teutsch 12,0.09433074712683114,0.055241084727560105,0.03957298439864019,0.026133548430730996,0.011078016519214976,False,False,False,True,True,0.8318,0.2921610415177198
NGC 2264,0.09592861417333406,0.07521730928764438,0.04861338459835952,0.035195329776051616,0.1329669509049199,False,False,False,True,False,0.0275,0.5238365472109751
Dolidze 41,0.09639476362604449,0.027474468433720527,0.024313660187513866,0.06562055520414323,0.11961944985972493,False,True,True,False,False,,0.36980148471660973
Berkeley 85,0.09639476362604449,0.027474468433720527,0.024313660187513866,0.06562055520414323,0.11961944985972493,False,True,True,False,False,0.4169,0.36980148471660973
King 7,0.09997395478971952,0.015286153893547573,0.03041774449667809,0.05708825677259195,0.03500546664791223,False,True,False,False,False,0.2239,0.24238647304678804
Berkeley 2,0.10350869631090603,0.04001338001785286,0.0401016134588849,0.031069451469857057,0.021957336446152196,True,False,False,True,True,0.5888,0.2851693721051759
SAI 116,0.10541132727549715,0.027817014440146427,0.009886611206775876,0.012514717315228551,0.005329552826770123,False,True,True,True,True,0.1259,0.15772267909180726
VVV CL006,0.10541132727549715,0.027817014440146427,0.009886611206775876,0.012514717315228551,0.005329552826770123,False,True,True,True,True,,0.15772267909180726
Briceno 1,0.10869299119124051,0.07282578836915982,0.05994501958286645,0.12058176623753146,0.08250043551643965,False,False,False,False,False,,0.5472717345889611
Collinder 70,0.10903626634934631,0.07396037771421507,0.050294291208469365,0.08197550964305754,0.018635539056985832,False,False,False,False,True,,0.4173456681137385
ASCC 21,0.11214226157424083,0.08802563037497269,0.0623360956374733,0.05327281338625818,0.15494447784864573,False,False,False,False,False,0.0089,0.6365980514610464
NGC 2632,0.11598176687465798,0.05723983887558835,0.039055281922653756,0.06391742053620776,0.030264168065740497,False,False,False,False,False,0.6761,0.36395269512767064
NGC 752,0.11734709484911705,0.06546644982042468,0.06930598417587829,0.055786165662471375,0.06821803633093947,False,False,False,False,False,1.1749,0.4947877607106707
FSR 0338,0.11758723113612438,0.03587450135668885,0.015358481851974897,0.04154775539426529,0.00992291727769611,False,False,True,True,True,,0.22334716370793933
Chupina 3,0.12286207697561241,0.05409157924597544,0.031072145799603556,0.04034366686787187,0.035351750021809444,False,False,False,True,False,,0.33482753041914015
BH 131,0.12740612565979714,0.023866159356722417,0.022046632148716366,0.06337254228622594,0.03843908383403538,False,True,True,False,False,,0.2726615516886298
ESO 518 03,0.12777485904766203,0.04027741427814625,0.04631508726314689,0.06309561552061069,0.05218350281518416,True,False,False,False,False,1.4125,0.3807764555139596
Tombaugh 2,0.1320133626055354,0.02032146241122739,0.037721464464629845,0.048205227596919184,0.07420144137938141,False,True,False,True,False,1.6218,0.34004112810121223
Collinder 69,0.13548319012041174,0.07452793824807859,0.05106788392198577,0.06060845530829242,0.11729603429413202,False,False,False,False,False,0.0126,0.5558577790623136
NGC 2158,0.1355052123003189,0.026460605952317744,0.02123394870385454,0.04042593379897123,0.027769465078852962,False,True,True,True,True,1.5488,0.2527000174999287
Berkeley 33,0.13625019060710145,0.08555337848279347,0.08333573719443678,0.07796880009337068,0.09490485147416508,False,False,False,False,False,0.2344,0.6352341448039849
ASCC 16,0.13934474757886461,0.07663998031544665,0.06461461178828744,0.08882651403281257,0.10375692801345501,False,False,False,False,False,0.0135,0.5956755520112746
Berkeley 9,0.14104189273162931,0.09395263216829848,0.049627352739410366,0.28873220774731206,0.11585772052392537,True,False,False,False,False,1.3804,0.7570160751704724
ASCC 19,0.15124765635733287,0.07666203471326456,0.06574026189970811,0.08938708823560661,0.09990525925666892,False,False,False,False,False,0.0105,0.6028519622791383
NGC 2682,0.1551495151399197,0.053865810341155236,0.05653972926522521,0.07731916489160236,0.04687390149204786,False,False,False,False,False,4.2658,0.4575108056373174
Kharchenko 1,0.15590328705701934,0.04900479530814293,0.04414523555681173,0.12184896142687465,0.07258864867786934,False,False,False,False,False,0.7079,0.4848457887062688
NGC 1857,0.17649911523403458,0.04503224848738035,0.020608146456742003,0.07278993128701984,0.0030017878006281485,False,False,True,False,True,0.2512,0.3137338315248201
Sigma Orionis,0.1785417888988255,0.04571884216142127,0.03902231155779404,,0.03111413962243604,False,False,False,False,False,,
Berkeley 71,0.1788978925951333,0.008726597313491851,0.017713102011765375,0.05302825460773553,0.0315647712912143,False,True,True,False,False,0.871,0.25395320542450184
BH 56,0.18773779330047935,0.054093742145573026,0.09210782798291765,0.18161766603061133,0.09529263155665177,False,False,False,False,False,0.0178,0.6996866076632828
Chupina 1,0.1899773220989148,0.05775005772535294,0.027412457874394062,0.06460807437449109,0.026764873293648763,False,False,True,False,True,,0.3926677013155522
NGC 7058,0.24534688552606085,0.015432928872777196,0.05373992339360646,,0.04532563879082861,False,True,False,False,False,0.0407,
ASCC 11,0.26479221378668377,0.03591810919871079,0.027098161230490157,0.05554278392347546,0.1304839241401024,False,False,True,False,False,0.2455,0.5330615933456799
