ra,dec,C_O,sigma_CO,fe_h,c_fe,o_fe,mg_fe,si_fe,al_fe,rv_gaia_dr3,age,cluster_name,ra_cl,dec_cl,pmra_cl,pmdec_cl,dist_cl,sep_deg
81.06788,1.386025,0.5262636672276495,0.08687121779425827,-0.091412626,-0.0060097887,0.012359168,-0.013934903,-0.038232904,0.10434997,102.602936,5.288156,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.2988
81.04742,1.7847527,0.6406602700367378,0.09022594084361375,0.10331761,-0.031168612,-0.09822406,-0.013886243,0.061282802,0.18623847,-23.582785,5.565112,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.1987
81.13196,1.9516695,0.5971433216489663,0.08259680190124741,0.18595657,0.036351547,-0.00015468814,-0.054621436,-0.03552299,0.1533485,23.969639,5.381111,ASCC_16,81.198,1.655,1.355,-0.015,0.344,0.3039
82.29054,3.9805555,0.382170353855412,0.09615656951913147,0.27593663,0.22242585,0.3797412,0.08038246,0.12564847,0.30822554,-3.695662,9.860115,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.467
82.093376,3.928139,0.44015922507864996,0.06549956034069222,-0.18635413,0.02236532,0.118327856,0.056621976,0.045392346,0.1093972,63.141052,5.235794,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.4101
82.09487,3.9618611,0.3846342693063438,0.10491301789419284,-0.30553892,0.017310351,0.17183472,0.10958051,0.107528284,0.13451582,62.046368,5.522327,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.4429
82.07579,3.960639,0.29786052075128727,0.04567940793432838,0.045187682,-0.06644701,0.19911239,0.042176835,0.071971565,0.12412915,55.80232,4.664585,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.4457
82.015045,3.2307222,0.4622748799116837,0.04365128719296337,0.10702255,-0.18329562,-0.10862357,0.021477029,0.027057175,0.006318599,15.835372,1.2441981,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.3385
82.47454,3.146361,0.4428047127936403,0.11829317188986153,-0.4369908,0.06677181,0.16013192,0.1342746,0.13966192,0.13663873,58.825275,7.157931,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.4816
81.94417,3.40075,0.3906536779168569,0.09381653550284502,-0.12895894,0.047102533,0.19488296,0.10414804,0.10468049,0.029434651,18.939148,4.668882,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.2662
82.410164,3.2365556,0.42801777440793487,0.07049301636177459,-0.0361322,-0.02007241,0.08803813,0.00064367056,0.06737481,-0.0008611828,56.534912,4.9706697,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.371
82.25662,3.3284721,0.45613704312252423,0.11592148456019723,-0.1159598,-0.078085,0.0023920015,0.07404611,0.13529143,0.03578855,-25.029398,6.508645,ASCC_21,82.179,3.527,1.404,-0.632,0.341,0.2131
