name,gaia,n_sectors,baseline_d,n_pts,rms_ppm,P_d,dur_h,depth_ppm,sde,bls_power,R_p_Rearth,a_AU,T_eq_K,n_sec_checked,sec_depths_ppm,status
CPD-63   349,4677014433801899392,39,2606.387803404933,615948,832.4816,190.48394946498215,4.800000000000001,395.01075261215954,8.097094886370371,3.869630668044773e-05,2.1703366146819394,0.647906158922899,337.90141377956655,39,+586|+488|+602|+441|+199|+635|+1244|+471|+302|+816|+274|+976|+498|+532|+630|+909|+444|+351|+316|+528|+235|+579|+620|+484|+512|+552|+952|+466|+517|+638|+777|+510|+498|+286|+594|+451|+630|+361|+928,DETECTION_CANDIDATE_SDE_OK
CD-60  1593,5479947952629976576,21,2607.8387500465287,324586,1268.9629,244.2529917663922,4.800000000000001,915.4419194461258,5.7830107615094555,4.3158746255779166e-05,3.303984765446725,0.7647152979269076,303.79982963188223,21,+859|+505|+426|+537|+896|+551|+448|+788|+729|+614|+690|+563|+840|+367|+663|+716|+817|+1709|+562|+1114|+645,marginal_SDE_5_7
HD 271308,4660360749704988672,9,327.59550942082024,135061,870.70123,34.27135902683404,2.4000000000000004,290.288832005137,8.212380311565278,1.845460571113256e-05,1.8605348203357381,0.20648764351977394,669.7198537463088,9,+983|+599|+617|+239|+273|+270|+581|+236|+523,DETECTION_CANDIDATE_SDE_OK
BD-02  3362,3787168403447234688,3,1034.4954223157624,49159,971.23846,59.33406113537117,1.2000000000000002,719.2573387091193,7.560198773145585,1.655459581718159e-05,2.928631904399102,0.2977208384759824,519.6918064669433,3,+667|+652|+676,DETECTION_CANDIDATE_SDE_OK
HD 178528B,6762301045488196864,1,25.36845062158318,15045,1248.7468,6.285050721736081,2.4000000000000004,431.9650136016175,5.224274876120278,1.9499049275975862e-05,2.269587469077672,0.06665187556623803,1107.2616943913324,0,,marginal_SDE_5_7
TYC 7413-1369-1,6756649036022752640,1,25.33473883402212,17222,1217.5599,4.641201906044913,1.92,360.6454725251074,4.258134525162901,2.1330685723868707e-05,2.0737809497369284,0.054453628594284216,1189.7232920201873,0,,no_signal_SDE_4.3
TYC 7915-779-1,6728919696365591040,1,25.33457973339273,17215,1058.8167,6.703330113877097,1.2000000000000002,473.1252191667644,4.8515387860402255,1.6005094320329318e-05,2.3752574415176064,0.06957719589419054,1073.910803828204,0,,no_signal_SDE_4.9
TYC 9263-701-1,5820151934211076736,1,23.67072272788073,13196,1357.8965,0.5762495196547082,4.800000000000001,105.31919127384971,4.569957139153453,2.581693734771969e-05,1.1206665164230611,0.013552317506617782,2428.3661170369423,0,,no_signal_SDE_4.6
TYC 8351-1776-1,5946498361543836928,1,27.75588693940881,18213,1440.9581,0.5636300361636221,4.800000000000001,93.20969776290634,7.271575622644458,2.7858225132988352e-05,1.054273252212852,0.013353730365139415,2463.5655864828523,0,,DETECTION_CANDIDATE_SDE_OK
BD-08  6091,2630796837510460416,1,22.332234303807127,9035,1017.34045,0.6286337877001485,4.800000000000001,120.02127315974056,6.559816193996958,2.0736150102669043e-05,1.1963320921765699,0.01436167176467522,2374.0383136171777,0,,marginal_SDE_5_7
HD 183193,6771181697822279936,1,25.16440998985172,15693,476.8332,0.5813293262970701,4.800000000000001,41.39606243426259,7.684690481203935,4.686788949142836e-06,0.7025903087476407,0.013631846019879981,2425.7914566046475,0,,DETECTION_CANDIDATE_SDE_OK
HD 217340,2634966799782787584,1,23.801700630488995,13479,890.3065,9.509401582212858,2.4000000000000004,3056.2431637054315,6.799491511580687,0.00023351555689240456,6.036936265991909,0.08784329995715763,961.0697280522419,0,,marginal_SDE_5_7
BD-06  6123,2634917910170903040,1,22.73625288246876,9419,1134.8121,2.8898687877274583,3.5999999999999996,333.5856052445783,4.725948593236976,2.9489029346993777e-05,1.9944644022202322,0.039706225056979384,1439.6772213172383,0,,no_signal_SDE_4.7
TYC 5248-636-1,2634849942312584960,1,22.336295328144843,9136,1298.8472,0.6265494093211994,4.800000000000001,139.32118197921898,4.856471450986459,2.799949009661499e-05,1.2889355839128167,0.014329907934468205,2367.4579254395308,0,,no_signal_SDE_4.9
HD  13684A,5118120941037811584,1,20.265496467095318,13023,873.3143,4.4181718151754295,1.2000000000000002,353.1291356547276,5.8734482783839725,1.116066668711882e-05,2.0520569719658837,0.052694859491222275,1355.2620054749787,0,,marginal_SDE_5_7
TYC 8351-2149-1,5946718401318557440,1,24.32266681989904,14181,1388.418,3.707902663631874,1.92,443.43859430866104,5.228056732786858,3.342842377681502e-05,2.2995316043135463,0.046884080204248973,1357.5383876528665,0,,marginal_SDE_5_7
HD  13767,5118127744266022912,1,20.265501584712865,13020,1064.4272,0.8081281577117764,4.800000000000001,136.18864954795512,6.2269409309073955,3.004670419042709e-05,1.2743628282186856,0.016979569556893087,2169.218165541295,0,,marginal_SDE_5_7
CD-47  7291,5371291464801734912,1,24.206908504991134,15465,1106.8354,0.5183701193338264,1.92,150.34905364155867,7.429258351911132,2.6696313596407414e-05,1.3389766013699702,0.012628928074404843,2580.9603690108142,0,,DETECTION_CANDIDATE_SDE_OK
TYC 9271-1853-1,5794269018162164096,1,27.94565837244454,19336,2125.8171,9.167577602096022,1.2000000000000002,1168.2916593325322,5.580908756768306,7.37048916683619e-05,3.732486765220084,0.0857254118330391,887.9512669637568,0,,marginal_SDE_5_7
TYC  105-2108-1,3236036890058556544,1,21.77174700397586,14540,1164.1843,5.555770229636664,1.92,410.55592271320467,4.712706974315319,1.870973438991289e-05,2.212630013857443,0.06139071635849318,1135.6593788705782,0,,no_signal_SDE_4.7
