cluster,template_N,age_gyr,R_gal,observed,mc_median,mc_std,enrichment,p_value,significant,centroid_C/O,sigma_C/O,centroid_[Mg/Fe],sigma_[Mg/Fe],centroid_[Si/Fe],sigma_[Si/Fe],centroid_[Fe/H],sigma_[Fe/H]
UBC_541,18,0.021877623926123,7.777665502741655,138389,69846.5,53390.0,1.981,0.17,False,0.5301,0.1313,-0.0135,0.0591,0.0774,0.0665,0.0542,0.1328
UBC_550,7,0.0467735223455781,7.774088295891586,40257,44057.0,44675.9,0.914,0.525,False,0.5713,0.1486,-0.0459,0.0647,0.0716,0.0462,0.043,0.1355
UBC_552,9,0.0112201894707378,7.781646023028782,81518,42681.5,42443.4,1.91,0.29,False,0.5162,0.0718,-0.011,0.0519,0.0733,0.0649,0.1052,0.1532
UBC_553,7,0.0131825639118268,7.565703615685568,116994,55448.5,44354.1,2.11,0.14,False,0.5487,0.1119,0.0046,0.0649,0.0341,0.0637,0.1393,0.0848
UBC_554,8,0.0602559877171915,7.614740183801021,78949,60780.5,53621.6,1.299,0.415,False,0.4841,0.107,-0.0007,0.1073,0.0839,0.0815,-0.0311,0.2026
UBC_557,11,0.1445439262895664,7.50975173235566,65548,22123.0,24747.7,2.963,0.13,False,0.5597,0.1147,-0.0067,0.0265,0.0412,0.0438,0.1487,0.0918
UBC_558,7,0.0072443618278712,7.788759559947438,51718,18190.0,20764.0,2.843,0.12,False,0.5146,0.0814,-0.0163,0.0636,0.0393,0.0605,0.103,0.1323
UBC_559,12,0.0114815347022194,7.745312224710534,125558,93397.5,64490.3,1.344,0.39,False,0.4878,0.0661,-0.0128,0.1004,0.0612,0.0984,0.0417,0.1786
UBC_562,12,0.0117489801933541,7.724752507139512,84343,29811.0,38771.3,2.829,0.225,False,0.4831,0.1209,0.0364,0.0662,0.0772,0.0585,-0.0045,0.1655
UBC_618,11,0.7244353873869618,8.243433871766072,114057,37709.0,39895.7,3.025,0.085,False,0.4187,0.0805,0.0253,0.0703,0.0694,0.0782,-0.2068,0.1301
UBC_622,16,0.7585777749219503,8.370223532495036,146202,44600.0,46121.9,3.278,0.02,False,0.4487,0.0716,0.0367,0.0617,0.044,0.0656,-0.1179,0.1713
UBC_627,10,2.089294662720361,8.40806045807564,53495,12788.0,17694.4,4.183,0.06,False,0.4189,0.0815,0.0511,0.049,0.0243,0.0376,-0.1419,0.1623
UBC_632,27,,8.289098701503464,207057,90162.0,71443.0,2.296,0.095,False,0.4617,0.0951,0.0327,0.0932,0.0625,0.1172,-0.1307,0.1905
UBC_646,28,0.0229086835704537,8.154365165253443,112751,43981.5,47544.0,2.564,0.19,False,0.4001,0.1079,0.0139,0.0744,0.0814,0.0775,-0.1593,0.2258
UBC_650,10,0.0776246877988414,8.106438611257202,114440,82003.0,59180.5,1.396,0.42,False,0.3927,0.1153,0.0331,0.0979,0.112,0.0872,-0.1818,0.2116
UBC_651,5,0.1584892496402718,8.084371611871916,7790,2449.5,3150.2,3.18,0.16,False,0.4969,0.0787,-0.0215,0.0359,0.0083,0.0711,-0.0068,0.0551
UBC_652,7,0.01,8.030579782337982,159514,87245.0,59947.4,1.828,0.17,False,0.5118,0.1235,-0.019,0.0908,0.0085,0.1265,-0.0418,0.1668
UBC_654,12,0.0089125054671134,8.05821962402236,124288,53493.0,52283.1,2.323,0.205,False,0.4755,0.1226,0.0342,0.0785,0.0858,0.0563,-0.1153,0.1845
UBC_656,11,,8.059579096244637,124567,82700.0,63315.8,1.506,0.38,False,0.4763,0.1069,0.0257,0.106,0.0921,0.0979,-0.0312,0.2285
UBC_660,20,1.0,7.976207130872343,176499,93687.0,72903.6,1.884,0.21,False,0.5016,0.1384,-0.0089,0.0772,0.0443,0.0988,-0.018,0.1799
UBC_664,6,0.0407380403044348,7.903110716442441,114854,25264.0,36394.6,4.546,0.04,False,0.4201,0.1069,0.0495,0.0756,0.0519,0.0698,-0.0116,0.2128
UBC_93,37,0.8128302305789092,7.788832993522695,153092,48647.5,54423.4,3.147,0.085,False,0.4549,0.104,0.0081,0.0601,0.0508,0.0601,0.0182,0.1691
UPK_12,29,0.1995263191254866,6.698691237538259,153603,111823.0,76731.0,1.374,0.38,False,0.4222,0.1085,0.0687,0.0859,0.1277,0.093,-0.1788,0.1922
UPK_18,5,0.7244353873869618,6.923566820321553,4372,5228.0,4452.6,0.836,0.525,False,0.4954,0.0995,-0.0265,0.0401,0.0825,0.0735,0.0449,0.1257
UPK_33,13,0.2818381693478142,6.465310999386034,96373,50411.0,48688.4,1.912,0.275,False,0.5131,0.1035,0.021,0.0629,0.0798,0.0431,0.0817,0.1471
UPK_398,6,0.0107151982289039,10.16490658086839,116217,76652.5,46290.5,1.516,0.215,False,0.3573,0.1033,-0.0244,0.1186,0.009,0.1601,-0.0815,0.2051
UPK_4,5,0.2754226042194985,6.92603990368344,42710,7887.0,11354.8,5.415,0.004975124378109453,True,0.4739,0.1148,0.033,0.0686,0.0493,0.0634,-0.0031,0.0552
UPK_436,16,0.0257039487966919,9.045712069190055,99586,47507.5,39118.5,2.096,0.15,False,0.4134,0.075,0.0284,0.0684,0.0739,0.0585,-0.2072,0.2128
UPK_442,15,0.1698241862446276,9.333753076701658,160368,53648.5,50535.0,2.989,0.03,False,0.4317,0.0763,0.0201,0.0788,0.0517,0.0931,-0.1116,0.1853
UPK_457,13,,8.801983508644252,47935,24883.0,25125.6,1.926,0.255,False,0.4221,0.0756,0.0271,0.0452,0.0919,0.0681,-0.2021,0.1917
UPK_508,11,0.1,8.423674338049501,145798,88259.0,62693.0,1.652,0.24,False,0.4053,0.099,-0.0143,0.1129,0.0732,0.0663,-0.1113,0.1741
UPK_526,9,0.0309029380386681,8.41992607717049,81978,44160.5,35052.3,1.856,0.21,False,0.4911,0.0899,0.0765,0.0718,0.0935,0.0875,-0.1158,0.1788
UPK_549,5,0.9332548746146908,8.065150903899356,124606,23751.0,38124.0,5.246,0.025,False,0.4723,0.0988,0.0342,0.0605,0.0467,0.0685,-0.0134,0.0886
UPK_560,25,0.323593827469971,8.047897766741945,176815,66824.5,53527.7,2.646,0.03,False,0.455,0.0882,0.0407,0.0748,0.0534,0.0962,-0.1129,0.2433
UPK_630,11,0.1122018947073786,7.193818673872304,40453,33173.0,38907.3,1.219,0.45,False,0.5223,0.093,-0.021,0.0631,0.0746,0.0538,0.1081,0.1069
vdBergh_80,15,0.006456541439665,8.929635141365358,126189,45739.0,39258.1,2.759,0.025,False,0.4488,0.1175,0.0082,0.0409,0.0505,0.0479,-0.094,0.1553
vdBergh_85,12,0.0043651569804287,8.598713904452772,220073,86439.0,75459.7,2.546,0.05,False,0.4253,0.0938,0.0254,0.0833,0.0771,0.1002,-0.1745,0.2279
