cluster,template_N,age_gyr,R_gal,observed,mc_median,mc_std,enrichment,p_value,significant,centroid_C/O,sigma_C/O,centroid_[Mg/Fe],sigma_[Mg/Fe],centroid_[Si/Fe],sigma_[Si/Fe],centroid_[Fe/H],sigma_[Fe/H]
NGC_2670,9,0.102329353157667,8.175837691915653,47359,12315.0,17908.2,3.846,0.12,False,0.4665,0.1323,0.0523,0.0947,0.0803,0.0641,-0.1203,0.1223
NGC_2682,41,4.265796312095559,8.92057835084774,107037,29869.5,32862.7,3.583,0.05,False,0.4825,0.0916,0.0118,0.0501,0.0365,0.0432,-0.0373,0.1076
NGC_2910,14,0.1288248533293804,8.087048411398431,111938,80333.5,59656.4,1.393,0.325,False,0.4195,0.1054,-0.0225,0.0834,0.0735,0.0682,-0.0832,0.1631
NGC_2925,15,0.1288248533293804,8.09081512919616,139283,89721.5,60050.0,1.552,0.23,False,0.4587,0.0923,-0.0104,0.0898,0.0651,0.0961,-0.038,0.1435
NGC_2972,6,0.4897783461428336,8.09676151083867,99302,39902.0,48582.8,2.489,0.225,False,0.3531,0.0846,-0.0228,0.0906,0.0783,0.0693,0.002,0.0555
NGC_3105,11,0.021877623926123,8.10470590115623,155485,33150.0,45766.3,4.69,0.005,True,0.4596,0.154,0.0264,0.0531,0.0488,0.0411,-0.0147,0.1288
NGC_3228,30,0.0301995185303324,7.995186050938588,139808,55885.5,56291.7,2.502,0.195,False,0.5433,0.1394,0.0386,0.0536,0.07,0.0582,-0.0701,0.1733
NGC_3255,20,0.2238723104986867,8.08958499534684,182587,72218.5,62199.7,2.528,0.045,False,0.4811,0.1076,0.0161,0.0741,0.0591,0.0671,-0.0302,0.1994
NGC_3766,8,0.0229086835704537,7.9454546263332775,45668,11596.5,15075.2,3.938,0.055,False,0.4983,0.0816,-0.0032,0.0352,0.0329,0.0381,0.1096,0.1978
NGC_4349,8,0.3162277660168379,7.890496807832344,32711,11340.0,14012.5,2.885,0.15,False,0.4615,0.0719,0.0271,0.0474,0.0698,0.0372,0.035,0.1194
NGC_5168,16,0.602559215586761,7.953722185567665,143545,54438.0,50640.6,2.637,0.08,False,0.455,0.0789,0.0406,0.107,0.0598,0.0607,0.0095,0.1489
NGC_5381,5,0.3548135450617081,7.875471168674564,13583,5545.0,7131.5,2.45,0.27,False,0.4523,0.0569,-0.0043,0.0347,0.0503,0.0359,0.001,0.1716
NGC_5460,16,0.1584892496402718,7.242421685147959,54924,13862.5,17909.3,3.962,0.045,False,0.438,0.0546,0.0345,0.0315,0.0573,0.0435,0.0571,0.13
NGC_5617,5,0.1047129651766653,7.845895241375126,80518,22747.5,29581.0,3.54,0.115,False,0.3927,0.134,0.007,0.063,0.0535,0.0526,-0.0304,0.2307
NGC_5662,12,0.1995263191254866,7.237514748619448,60152,25163.5,31408.0,2.39,0.255,False,0.4404,0.073,-0.0007,0.0769,0.0552,0.0572,0.0506,0.1081
NGC_5749,8,0.0524807206714521,7.469217891300027,138649,92407.0,71144.9,1.5,0.355,False,0.5412,0.1408,0.0225,0.0713,0.1109,0.081,-0.0098,0.2013
NGC_5822,6,0.9120109194638908,7.231381963639439,30801,11511.5,12744.0,2.676,0.145,False,0.5126,0.0632,0.0277,0.069,0.0586,0.0658,0.0734,0.1206
NGC_6124,7,0.1905459546378596,6.679404453445096,198655,129633.5,77047.0,1.532,0.215,False,0.499,0.2068,0.0134,0.0958,0.0541,0.0833,-0.0503,0.1512
NGC_6152,17,0.2238723104986867,7.598689568507118,162766,53530.0,51902.7,3.041,0.025,False,0.4938,0.1016,0.0222,0.0664,0.0432,0.0568,0.1014,0.132
NGC_6167,19,0.1548815122441698,7.534191238319879,197903,105025.0,70899.9,1.884,0.15,False,0.5154,0.0931,0.0143,0.0839,0.0578,0.0674,0.0939,0.1359
NGC_6178,19,0.016595861056887,7.111773681509075,179037,75306.0,55557.2,2.377,0.05,False,0.5036,0.0965,0.0321,0.0652,0.0495,0.0529,0.0822,0.1122
NGC_6204,5,0.0933253849940474,7.378756093800121,57928,18765.0,23910.4,3.087,0.145,False,0.4633,0.0922,-0.0214,0.0775,0.0362,0.0672,0.0698,0.051
NGC_6250,8,0.0239883355113592,7.197664146972901,20248,22620.5,24007.1,0.895,0.56,False,0.5548,0.0796,-0.0063,0.0494,0.099,0.0486,0.1138,0.1316
NGC_6318,10,0.0097723670593248,7.72159927400992,127503,96004.5,64477.6,1.328,0.34,False,0.5071,0.0921,0.007,0.1048,0.0623,0.1026,0.0284,0.186
NGC_6645,7,0.512861429039393,7.601919955676203,7601,5465.0,7986.5,1.391,0.42,False,0.5534,0.1361,0.0303,0.0334,0.0947,0.0224,0.012,0.2048
NGC_6694,7,0.1412536303897631,7.6464230323238045,78184,27189.5,31719.1,2.876,0.16,False,0.4827,0.124,0.0352,0.0871,0.0607,0.038,0.0523,0.1705
NGC_6756,6,0.0478629903136986,7.905993893082766,23922,14532.0,18587.6,1.646,0.385,False,0.4917,0.0723,0.0404,0.0806,0.0783,0.0394,0.044,0.1207
Patchick_90,58,1.096478099832217,8.228316060191462,223796,110782.5,70328.7,2.02,0.03,False,0.4112,0.1144,0.0169,0.0739,0.0575,0.0652,-0.1231,0.1948
Pismis_15,17,0.8709627484287175,8.11422551916476,164958,88267.5,62915.3,1.869,0.165,False,0.3888,0.1005,0.0496,0.1004,0.1088,0.1206,-0.2158,0.1948
Pismis_20,7,,7.899618041884845,61558,40779.5,46862.7,1.51,0.395,False,0.4871,0.1653,0.081,0.1844,0.1159,0.1012,-0.0237,0.358
Pismis_21,11,,7.900957576031137,76171,53166.0,51596.2,1.433,0.42,False,0.44,0.1146,0.0592,0.1491,0.1061,0.0822,-0.0457,0.2848
Pismis_23,6,,7.972252828225741,26258,12468.5,14861.8,2.106,0.235,False,0.5088,0.0811,0.0424,0.1009,0.0775,0.0534,-0.0362,0.2132
Pozzo_1,14,0.0095499262796311,8.929433311393861,30351,22261.0,28218.6,1.363,0.425,False,0.4125,0.0671,0.0312,0.0529,0.0987,0.0475,-0.1804,0.1868
Ruprecht_1,27,0.2884031756450284,8.580840172129788,142929,69348.5,57849.6,2.061,0.165,False,0.3975,0.1122,0.047,0.073,0.0856,0.0722,-0.1871,0.2381
Ruprecht_105,7,0.3890452816839944,7.895279338125178,38414,17057.0,23186.6,2.252,0.29,False,0.5101,0.066,0.0497,0.0457,0.0909,0.0698,-0.0775,0.2084
Ruprecht_119,26,0.0478629903136986,7.737952588107533,147720,69988.5,53825.4,2.111,0.12,False,0.4946,0.1155,0.0233,0.0481,0.0697,0.0595,0.0259,0.162
Ruprecht_121,20,0.1778279410038923,7.693324722681464,170098,105905.0,75624.1,1.606,0.28,False,0.5513,0.108,-0.0116,0.0741,0.0713,0.0931,0.1424,0.1051
Ruprecht_161,21,0.1047129651766653,7.917002174742891,110267,44043.5,45049.6,2.504,0.155,False,0.4634,0.0998,0.0054,0.0531,0.0591,0.0908,-0.0861,0.2052
Ruprecht_18,28,0.1288248533293804,8.30972310007324,118446,42191.5,45639.5,2.807,0.13,False,0.4006,0.1011,0.0286,0.0679,0.0775,0.0688,-0.1472,0.1741
Ruprecht_54,35,0.2754226042194985,8.189864753048372,161131,106055.0,68828.5,1.519,0.29,False,0.4467,0.1005,0.0025,0.075,0.0783,0.0895,-0.1458,0.1785
Ruprecht_58,27,0.3311314705081584,8.214830764582993,145149,48003.0,45639.1,3.024,0.025,False,0.4086,0.0752,0.017,0.0646,0.0527,0.08,-0.1431,0.1708
Ruprecht_61,17,,8.203032955976518,151469,50530.0,52521.8,2.998,0.055,False,0.4294,0.0751,0.0394,0.0654,0.081,0.0667,-0.1773,0.1439
Ruprecht_77,7,0.0123026920306321,8.098262237234328,19051,7019.5,9837.7,2.714,0.195,False,0.4194,0.0476,0.007,0.0436,0.0751,0.0589,-0.0997,0.1458
Ruprecht_78,20,,8.1129283085481,227541,105057.0,76968.6,2.166,0.085,False,0.4723,0.1189,0.031,0.0849,0.0817,0.086,-0.08,0.2105
Ruprecht_82,16,0.4570880290185208,8.075441059539074,169877,65537.5,57327.2,2.592,0.06,False,0.3976,0.1117,0.0029,0.0673,0.044,0.0568,-0.0704,0.1443
Ruprecht_91,23,0.1380385355838289,7.902365407363508,135723,95470.5,71216.3,1.422,0.365,False,0.4556,0.0989,-0.0074,0.103,0.0703,0.0637,-0.0325,0.1609
Ruprecht_97,16,0.1778279410038923,8.034247742360018,164302,72443.0,66804.4,2.268,0.19,False,0.4608,0.1127,-0.0126,0.0808,0.0489,0.0659,-0.0005,0.1899
Ruprecht_98,15,0.4897783461428336,7.410212436894411,210188,108072.5,67342.1,1.945,0.045,False,0.4458,0.0867,-0.0016,0.0812,0.0416,0.0803,0.0,0.1837
SAI_113,10,0.0089125054671134,8.07732761301152,15677,4417.5,6120.3,3.549,0.12,False,0.4981,0.0688,-0.0263,0.0516,0.0468,0.0466,0.0226,0.1083
Stock_14,11,0.0363078006932764,7.965621399565513,62766,26357.0,25463.2,2.381,0.185,False,0.462,0.0991,-0.026,0.0306,0.0922,0.107,-0.014,0.1609
Stock_16,16,,7.99304197676814,197854,88808.5,66377.3,2.228,0.06,False,0.5163,0.1189,0.01,0.072,0.0489,0.073,0.0605,0.1606
Teutsch_103,10,0.3630784055774333,8.125029628603418,36895,11770.5,13606.3,3.135,0.105,False,0.4367,0.0869,0.0447,0.0712,0.0704,0.0636,-0.1445,0.2036
Teutsch_13,13,0.0079432840915212,8.255442169684091,121611,52283.0,50051.5,2.326,0.19,False,0.4268,0.0641,-0.0053,0.0847,0.0811,0.0662,-0.2196,0.1495
Teutsch_38,15,0.0371535375952047,8.53283840912599,32812,78379.5,60797.0,0.419,0.69,False,0.4305,0.0888,0.0576,0.0687,0.1475,0.0688,-0.0838,0.1626
Teutsch_44,18,2.5703948796691973,8.101469869574668,115321,57663.0,43509.4,2.0,0.135,False,0.4614,0.1051,0.0313,0.0793,0.0734,0.0638,-0.0961,0.19
Teutsch_61,10,0.045708802901852,8.302029989185144,112925,47301.0,40441.0,2.387,0.11,False,0.4536,0.1386,-0.0087,0.0426,0.0312,0.0591,-0.0407,0.1359
Teutsch_85,13,,7.985446088801375,138586,105211.0,65832.2,1.317,0.345,False,0.4525,0.0724,-0.0159,0.0983,0.0529,0.095,0.0567,0.1519
Tombaugh_2,5,1.621810239813303,8.169616729941797,12778,4505.5,5705.0,2.836,0.2,False,0.4796,0.0416,-0.0072,0.0332,0.0851,0.108,-0.1411,0.1353
Trumpler_14,7,0.0630957621586153,8.01521305545502,33106,9080.5,11378.5,3.646,0.08,False,0.4958,0.1476,0.0142,0.0919,0.0266,0.0529,-0.0272,0.1386
