cluster,alpha_raw,alpha_int,sproc_raw,sproc_int
ASCC_16,0.07715932191674714,0.07553145232961302,0.1634553438068893,0.15770901462612574
ASCC_21,0.08825013880198887,0.08636109679985737,0.19697136638931168,0.1910761547193537
ASCC_29,0.08065824514289456,0.07626837793077226,0.23662939238057,0.23089982017284744
ASCC_32,0.07024382000222713,0.06641526963568627,0.14368498965944262,0.13116181677347474
ASCC_41,0.08720297340997363,0.08383841244266577,0.20969286824980596,0.20303920005151682
ASCC_58,0.06723758793636354,0.06297320375801405,0.19971571167250307,0.19152097724292386
ASCC_66,0.099945954717377,0.09668747171703126,0.19593870080895917,0.18735085132592486
ASCC_67,0.06486630649816502,0.05969978049718979,0.19834003882837176,0.189266873527774
ASCC_71,0.08830583474862705,0.08531365407957117,0.1552763922362928,0.14704415324340175
ASCC_77,0.05691118014305058,0.051459290010817435,0.20943943172391571,0.20128960922584352
ASCC_79,0.040632439736333514,0.034532662074301515,0.1846352117395706,0.17699936495242777
ASCC_87,0.10894531339364141,0.10753426094317908,0.1439720152137642,0.13631788049863125
ASCC_97,0.056118975452074005,0.050120308398483,0.15989479477879445,0.1508914031494276
ASCC_99,0.10491140441826916,0.10319480138587217,0.21360299628335733,0.20847657282499746
Alessi_24,0.11189977162599207,0.10945716820583118,0.17221678006547175,0.16339145419324427
Alessi_43,0.10123003176964865,0.09794476362262469,0.2239421586526973,0.21607352276790823
Alessi_5,0.0979178534325246,0.0963669264995689,0.20173675656447745,0.19780791464984693
Alessi_59,0.06230301696771817,0.05789149812728262,0.22310483084333582,0.2171945259846867
Alessi_8,0.06482457746558822,0.056249033925086886,0.15530023785645203,0.1389357968884586
Alessi_9,0.11262091158228275,0.10953722431758076,0.09088912195699637,0.07157616976045818
Alessi_Teutsch_12,0.09705061883928469,0.09477852165647362,0.1294118629761078,0.1172613820050838
Alessi_Teutsch_8,0.04916428850547175,0.04165489044078017,0.18479168470316082,0.17729538093484631
BH_111,0.06002391063955945,0.05529129830894743,0.1891289099077175,0.1810990553459752
BH_118,0.09007043359745387,0.08639950225829941,0.19365899453070545,0.18358518714023497
BH_121,0.08902435171401378,0.08549558570548266,0.3041125932258475,0.29868585870922354
BH_144,0.06677646110189868,0.0608067169844998,0.15827110645095685,0.14781628088670867
BH_150,0.062445295490984244,0.05653816107183242,0.18615407543362972,0.17538353825191885
BH_151,0.11997034818393978,0.11662578626463639,0.3436875386432705,0.33619076021097744
BH_19,0.09521416151125506,0.09340283032968962,0.20679779400949302,0.2029333669041409
BH_211,0.03737424697868868,0.03162676331237029,0.11887891828344205,0.11004564807270445
BH_23,0.06430931711250212,0.06012317891849901,0.14811665555449896,0.13844734776913112
BH_54,0.13481194703550012,0.1310795840531147,0.23247809498666525,0.222499479026517
BH_66,0.05309206264415513,0.04722432843447264,0.227170378180665,0.2189718936472314
BH_72,0.0692917975805151,0.06371635048703916,0.16268266865288533,0.1498897048193994
BH_78,0.037716680032420374,0.025370413285863903,0.2775721508838674,0.2682943534937185
BH_84,0.05210533009820273,0.047559629607471676,0.20614289280976184,0.1990717076555511
BH_85,0.04728412693193926,0.03853142260345285,0.15614831079593008,0.14790194918916777
BH_90,0.10707800364186197,0.10518585090041821,0.1711358770221453,0.16286760404570408
BH_92,0.064023587452245,0.05960979394753923,0.18193917764878295,0.17125549262908396
BH_99,0.036520020463302556,0.032380916205948886,0.23064467350825188,0.22686686743674908
Basel_17,0.06396809923201993,0.05888964233541516,0.2952470974791193,0.289783067614521
Basel_18,0.063190885107006,0.055520118958686616,0.34347675665366767,0.3334922881817937
Basel_8,0.0937907708585522,0.08949389528163733,0.26963220748683614,0.26042886334303234
Berkeley_20,0.058808320459898276,0.04808758470539411,0.11196256262215509,0.07994888034287821
Berkeley_22,0.0872408054003885,0.08339363686030098,0.2281597536605689,0.22008646431887208
Berkeley_24,0.06446322091632786,0.06061828043516654,0.20440887245067285,0.1977709495701225
Berkeley_25,0.06391911314883045,0.059659544777419485,0.20515674400324763,0.196499844585919
Berkeley_32,0.08597950795302817,0.08379291504785488,0.24522904950349225,0.24018524364767788
Berkeley_33,0.07524322008398734,0.06912547297975144,0.27861692761249895,0.26807637958064456
Berkeley_39,0.07717166108593623,0.0731294884084468,0.163783812453596,0.15258365087306958
Berkeley_73,0.04982817386020963,0.04091948005612975,0.2455124119104877,0.23511324074617482
Berkeley_75,0.07333693272992739,0.06828973399393062,0.1764868699399472,0.16553166027430777
Berkeley_78,0.08167610074313475,0.08021257522634756,0.2852609319095462,0.28227443275776315
Bica_3,0.03840374357324793,0.029272974968512718,0.24148963631390555,0.23353164839624155
Blanco_1,0.10018301428568964,0.09811662856668302,0.11773049274328892,0.10471048781056533
Bochum_11,0.043605808837497956,0.03971029307300859,0.1616397053151888,0.15504547877771402
Bochum_13,0.14749175190122826,0.14648529205010552,0.22433309794755363,0.22067079455225067
Bochum_6,0.0398486853337494,0.029246357542757326,0.14323537981469128,0.1311715786799873
Collinder_115,0.0772834427046255,0.07382605456274567,0.30079965239656,0.2958856454464917
Collinder_135,0.069919847383203,0.06593146144868905,0.14960013368383754,0.1379584636813386
Collinder_140,0.08501383224685188,0.08013227041609086,0.16777011263410124,0.15748943733748214
Collinder_185,0.05346366077009413,0.049626968539328034,0.24501669668637271,0.23990641167185045
Collinder_205,0.034378257537789045,0.02528197081691432,0.09670543141255185,0.08641692839220132
Collinder_220,0.07466592236469158,0.07227075445689177,0.2472440206478694,0.24166808505551152
Collinder_261,0.06386584724216209,0.0567454538094265,0.1248669481690582,0.10732122749813139
Collinder_269,0.09750252115023059,0.09485966020900974,0.15568770798743248,0.14582261985986716
Collinder_271,0.06688996014768535,0.06153696416619649,0.15131920179377006,0.1391557245646203
Collinder_272,0.11765053698778781,0.1141589023333903,0.22091832344837128,0.21176038651412782
