source_id,ra,dec,pmra,pmdec,parallax,pmra_error,pmdec_error,parallax_error,radial_velocity,phot_g_mean_mag,bp_rp,age_flame,age_flame_lower,age_flame_upper,mass_flame,teff_gspspec,mh_gspspec,alphafe_gspspec,gaiadr3_source_id,C_O,mg_fe,si_fe,fe_h,al_fe,ba_fe,rv_comp_1,teff,logg
5929164835627116544,254.17749206451887,-56.24766701933623,-4.666321616406835,-5.646598403820295,0.3193341085701421,0.017566666,0.013272496,0.01463198,-66.43672,13.3185625,1.5622902,2.730638,2.4471712,3.014081,1.5224128,,,,5929164835627116544,0.67361338383155,0.06001959,0.08498606,0.26157597,0.10326272,-0.20247361,-66.94706,4475.871,2.364633
5826319713421861632,236.83896511823306,-63.15151965329253,-2.3122278082769077,-3.4132431838922668,0.7639940061923289,0.01363516,0.01372811,0.012513823,67.785774,12.855364,1.4180117,6.5185766,5.9091325,7.201774,1.1805915,,,,5826319713421861632,0.677158048067705,-0.0053376257,0.043217737,0.21581718,0.13851562,-0.22306687,68.370766,4738.488,3.0012133
5914177667484829568,257.42101311588925,-60.34290939077603,-1.9571706599472827,-4.346879642953141,0.8692859533678786,0.012901374,0.01155411,0.014814499,5.021663,11.724171,1.4070425,3.4971335,2.7256284,3.9322147,1.4112253,4520.0,0.13,-0.06,5914177667484829568,0.6124773181885041,0.010338768,0.096280634,0.18157116,0.13974711,-0.09820604,5.9087315,4569.166,2.6341057
5926796728086713344,251.60454592693,-59.618205015855494,-5.725191938781617,-6.597265229852847,0.6052939554261376,0.013764162,0.012340136,0.01632519,7.2237754,12.886891,1.5199137,6.565142,4.808667,8.095913,1.1808974,4595.0,0.03,-0.04,5926796728086713344,0.6188912155854956,0.050002553,0.05143879,0.14666674,0.09676731,0.03608822,7.5952873,4580.298,2.6824193
6730410359255054208,280.92524166418144,-37.10196297366099,-2.150575509396895,-5.620201461916284,0.8635124102762026,0.016352957,0.0132156825,0.015680145,-5.612425,11.161025,1.3959599,4.3095336,3.8343363,5.290181,1.3312955,4490.0,0.14,-0.11,6730410359255054208,0.6977836183747916,0.0146752,0.0896603,0.21774489,0.11647633,-0.14929385,-5.648738,4596.864,2.4314542
5890341865995363968,232.89217236495102,-49.69695576052197,-2.2367677136485367,-3.855432869913394,0.6688800959497585,0.013407131,0.015034803,0.017283715,-3.7356942,13.389965,1.490654,6.907452,6.232904,7.546325,1.1613771,,,,5890341865995363968,0.6392447860885331,-0.006811619,0.095746696,0.23719671,0.1065591,-0.27259004,-3.9042678,4815.0527,3.1378558
5954699309549965440,267.0157322507723,-44.85894880378928,-4.3810820429123,-3.8349794419581604,0.3084432968895241,0.016279811,0.01117273,0.0148046585,28.556913,13.371185,1.5228138,3.2810278,2.9394107,3.6260326,1.4417353,,,,5954699309549965440,0.6154214518476487,0.038597867,0.04601643,0.13793258,0.06573573,-0.094071455,29.143316,4602.52,2.4152923
5890051255655332096,230.85196195667285,-50.50622134577231,-4.523723237188255,-3.4653667510223096,0.4518337834649189,0.014810221,0.018581992,0.015911888,-0.1411153,13.5219755,1.7605467,4.5392904,4.0800076,4.9831944,1.3111004,,,,5890051255655332096,0.6607170413265714,0.0037900358,0.08795071,0.2709264,0.07588947,-0.09738817,-0.5261035,4571.4873,2.6320066
5905240459016843648,223.86135904166585,-47.626579413176884,-2.8438006234916973,-2.9844422599101454,0.47421595366615665,0.0155061,0.01474014,0.015029079,-12.241634,13.293974,1.4490538,5.1634064,4.104105,5.6614904,1.2622687,,,,5905240459016843648,0.6459391797030251,0.02239047,0.104467675,0.16164508,0.08268708,-0.20446247,-12.06623,4643.793,2.7882168
4124117349631371264,265.6442673492145,-16.25215832986298,-3.123861411739066,-5.854225160755286,0.5219704059486773,0.019873194,0.012066171,0.017680325,18.69046,13.040123,1.6972656,3.1240058,2.7552965,3.5142758,1.4613537,,,,4124117349631371264,0.710835795556416,0.03607124,0.10988371,0.1446217,0.07098621,-0.07291956,18.133335,4649.021,2.6268058
4085062902722644480,283.4739748080266,-21.003378785857674,-3.270429204779922,-3.0148019846298686,0.44075134494242474,0.022274187,0.017653609,0.019722937,50.0418,13.972578,1.4585285,2.7186232,2.4293003,3.0079577,1.5119976,,,,4085062902722644480,0.6088164416581666,-0.004855156,0.0658723,0.18775263,0.12796292,-0.03283269,49.58304,4830.44,3.0572016
4264731417770725888,288.69948611322314,1.40909216041922,-1.8195304305625757,-4.0175281933155755,0.4848615322013906,0.015614726,0.013941093,0.01594175,52.104897,13.153333,1.8759136,2.929793,2.617268,3.4636233,1.4909568,,,,4264731417770725888,0.7010340287044561,0.030093342,0.04339068,0.27459976,0.065648645,-0.23231328,52.145226,4526.8823,2.4021506
5942721401671797760,250.45994383927862,-46.62782996949219,-2.589035975179926,-3.2408295734588535,0.7764796873969031,0.02099236,0.018538738,0.018227093,-41.134186,13.598435,1.8192196,2.4482443,2.1816974,2.7105355,1.5622311,,,,5942721401671797760,0.6849284160845358,0.012088358,0.041508567,0.17535108,0.09495029,-0.09300659,-50.39456,4851.749,3.086115
5994298113421013504,239.91559837080877,-44.72654159416067,-2.994561629934847,-5.7678375559356665,0.7797882363264913,0.01705207,0.015286363,0.015673168,-8.8870735,12.302835,1.8728971,2.675686,2.3973773,2.9778416,1.5317594,4540.0,0.21,-0.07,5994298113421013504,0.6403431358199498,0.014578119,0.06390329,0.22518578,0.11377844,-0.17436513,-8.999332,4549.4873,2.4111726
5833482791183440000,237.685955213825,-60.48435942115975,-5.54598414435028,-3.0047740854330223,0.6216550955879897,0.013510002,0.011638768,0.011400022,4.1435804,12.24766,1.7729225,2.9940245,2.5563664,3.3315496,1.4829594,4443.0,0.13,-0.09,5833482791183440000,0.6382907936444432,-0.006068319,0.09727451,0.25587156,0.079432726,-0.078826495,4.687719,4484.7407,2.35474
