ra,dec,sobject_id,gaiadr3_source_id,tmass_id,snr_px_ccd3,flag_sp,flag_fe_h,c_fe,e_c_fe,flag_c_fe,o_fe,e_o_fe,flag_o_fe,mg_fe,e_mg_fe,flag_mg_fe,si_fe,e_si_fe,flag_si_fe,fe_h,e_fe_h,al_fe,e_al_fe,flag_al_fe,ca_fe,e_ca_fe,flag_ca_fe,ba_fe,e_ba_fe,flag_ba_fe,teff,logg,age,mass,rv_gaia_dr3,rv_comp_1,e_rv_comp_1,parallax,parallax_error,phot_g_mean_mag,Mg_Si,hab8,dist
103.380585,-60.31139,170115002701297,5479947952629976576,b'06533134-6018409',182.91109,0,0,-0.01220534,0.035626832,32,0.23745058,0.052580107,0,0.014986232,0.019058656,0,0.0016591698,0.010278302,0,0.019197728,0.05625177,0.044627592,0.028104352,0,0.01027357,0.019258684,0,0.12204338,0.029364318,0,5509.396,4.471327,6.949232,0.90523875,13.335243,13.613155,0.20590732,6.6316066,0.009528818,10.894983,1.0311623846882547,0.9934140821873566,150.7930220106844
231.4875,-69.415085,190211004301283,5820151934211076736,b'15255700-6924541',117.6187,0,0,-0.052569956,0.033763014,32,0.11818892,0.05294259,0,0.01767683,0.021090038,0,0.022941187,0.013019135,0,0.047939494,0.05523935,0.051080436,0.042507965,0,0.01716906,0.028700555,0,0.007839978,0.04600057,0,5862.563,4.3948092,4.9716983,1.011206,-10.866869,-10.446452,0.2107077,6.407199,0.013852112,10.482631,0.9879515410549222,0.9924569109451041,156.07444064091032
345.0387,-6.0794444,201006002101216,2634966799782787584,b'23000926-0604459',361.72574,0,0,-0.08780777,0.020771055,32,0.10799529,0.028405424,0,0.017687455,0.0125677865,0,0.0075614266,0.00580533,0,0.045972813,0.053527642,0.032910243,0.018934382,0,0.030140864,0.018972121,0,0.10519647,0.026712568,0,5907.12,4.371165,5.1898446,1.0206813,10.393139,10.457712,0.21650608,7.695504,0.014355499,9.943742,1.0235899859056643,0.9923914331934592,129.94600483607053
69.17225,-62.91497,161217003101009,4677014433801899392,b'04364134-6254539',181.56377,0,0,-0.02498071,0.029745096,32,0.1713522,0.038107533,0,0.010866895,0.019047813,0,-0.013527195,0.010003494,0,-0.0075994134,0.05442729,-0.011797264,0.02548032,0,0.0020745136,0.019198453,0,0.025967292,0.030143645,0,5640.4355,4.489334,4.9176683,0.92786527,17.621048,17.508493,0.21034883,9.559561,0.010105146,10.039541,1.0577769278791678,0.9921674773952949,104.60731408063613
229.9388,1.5190556,230503002901121,4420696592371170048,b'15194527+0131088',131.3543,0,0,-0.35431015,0.14754471,32,-0.388956,0.058715753,0,0.021047488,0.013923521,0,0.019984648,0.01811794,0,0.033266913,0.057756968,0.010262996,0.029123226,0,0.042294398,0.016082825,0,0.07826009,0.031948272,0,5205.553,4.5685916,3.9759274,0.8441295,-7.260516,-5.980943,0.19632171,5.5036273,0.017464817,12.049092,1.0024502765731722,0.9917119988377304,181.69835010448475
231.35184,-14.088639,200528002601375,6266047329961009408,b'15252437-1405184',168.31458,0,0,-0.05334069,0.032325972,32,0.14645317,0.044304434,0,-0.009800993,0.017916828,0,0.006671503,0.010968829,0,0.028212301,0.055992518,0.1106922,0.03268486,0,0.011133308,0.024644999,0,0.050527252,0.037176203,0,5889.0044,4.3893046,4.816395,1.0166025,38.362835,38.979176,0.22067095,5.8003206,0.016451472,10.758207,0.9627809842515846,0.9914165792401612,172.4042633091695
265.893,-50.48775,220322002201285,5946498361543836928,b'17433432-5029155',115.30381,0,0,-0.0357447,0.036417644,32,0.09021026,0.055222075,0,0.0034075677,0.022577738,0,-0.004887484,0.014667176,0,-0.030732349,0.057427417,0.006317511,0.043798883,0,0.036871813,0.02922305,0,0.109890856,0.04680723,0,5903.805,4.399247,4.837985,1.0011591,33.480854,33.13272,0.21461624,5.370718,0.015960842,10.942551,1.0192836354714874,0.991384927374343,186.1948439668588
80.54938,-66.11058,180101002601365,4660544333766391424,b'05221186-6606380',139.70683,0,0,-0.02234795,0.04114857,32,0.055632513,0.05860472,0,0.012189545,0.017432239,0,0.011630684,0.010746554,0,-0.029348731,0.05683904,-0.00021235645,0.0347589,0,-0.011857268,0.026808824,0,0.10381409,0.03937328,0,5739.0186,4.478076,4.2042584,0.9555282,36.731552,37.23238,0.21632959,5.6616035,0.012440618,11.027132,1.0012876533222164,0.9913680789520726,176.6284057158012
294.81357,-2.0323334,210721002401020,4213942707909684992,b'19391527-0201560',102.083405,0,0,-0.021243777,0.046667095,32,0.19830875,0.06056253,0,0.010550208,0.022454454,0,-0.00091696344,0.015075605,0,0.020373058,0.057921737,-0.022104114,0.035383,0,0.024693323,0.023726042,0,0.059552796,0.041746635,0,5508.052,4.503144,5.2739854,0.9072366,-22.988037,-26.493849,0.21565913,6.683135,0.05603697,11.443211,1.0267558156948247,0.9912037270803603,149.63037556476115
349.9766,-7.367472,200810001101045,2630796837510460416,b'23195428-0722029',230.87935,0,0,-0.06984407,0.02572827,32,0.040131234,0.033752672,0,0.019133776,0.014559903,0,0.008236282,0.00790219,0,-0.019275084,0.05557721,-0.008027732,0.02444631,0,-0.0017471351,0.021782234,0,0.09865952,0.033016246,0,5900.065,4.411916,4.435402,1.0043758,-9.599568,-9.0656,0.20764174,6.623299,0.02120897,10.346186,1.0254098714378896,0.9911042011418683,150.98216160858811
