gaiadr3_source_id,ra,dec,gal_l,gal_b,hab_score,s_CO,s_MgSi,s_FeH,s_volatile,s_age,C_O,fe_h,mg_fe,si_fe,ba_fe,age,teff,logg,dist_pc,parallax,cct_cluster,cct_distance
5468561474634920320,156.54808044433594,-27.74072265625,267.6041641396488,24.991637954165245,0.9787491439776648,1.0,0.9884611,0.9638482,0.9847213,1.0,0.4084388,0.08141175,0.057021774,0.023219302,0.0061299577,6.2304564,5300.7773,3.813116,603.4300951269576,1.657192785171921,UBC_545,0.841171126881943
6403226248933909120,322.6266174316406,-63.4738883972168,330.19914653151613,-41.47050352833802,0.9733827325287312,1.0,0.99631196,0.9271362,0.9835486,1.0,0.41756976,0.116695635,0.04205539,0.048348326,0.004463993,7.4222546,5512.898,3.8994062,1093.2621685930346,0.9146936834802784,UBC_545,0.5064574585008513
4775927461908550656,68.49495697021484,-55.75814056396485,264.76276138818054,-41.27083459635922,0.97187011140108,1.0,0.9959729,0.94292516,0.9991775,1.0,0.37864685,0.10285087,0.06754161,0.043904666,0.039858647,5.432619,5362.1597,3.8034441,781.2638034627388,1.2799773848062237,UBC_545,1.0142989202040666
4901335108176507264,0.9802083373069764,-63.86272048950195,311.4924912148584,-52.46858362649954,0.9654112292035684,1.0,0.9924639,0.9629002,0.9164905,1.0,0.39383817,0.08249237,0.0600309,0.030971672,-0.0544052,7.076728,5586.3496,3.9019818,575.5167759274539,1.7375688108977974,UBC_545,0.8755337352273674
5451626010567410432,165.8073272705078,-32.49399948120117,277.8783860020593,25.060272323336665,0.9620190142785352,1.0,0.88513565,0.9774223,0.9996638,1.0,0.48701113,-0.06411376,-0.023145225,0.061770145,0.04351653,7.5270743,5617.2676,3.8984768,1075.646563368022,0.929673402078132,Graham_1,0.3853387168449244
6261313176492617600,235.8934631347656,-17.032611846923828,351.3291045849217,29.237921517706567,0.9605811100569316,1.0,0.9659149,0.9477536,0.9640983,0.9999434351921082,0.4094938,0.09827979,0.058554076,0.0072686076,-0.017603695,8.042543,5311.184,3.8703368,1251.754501036442,0.798878693203826,UBC_545,1.121873003649714
3468219149884784896,185.47645568847656,-33.753807067871094,295.93455492158955,28.716371558133705,0.960333989884877,1.0,0.98090625,0.94548243,0.9662215,0.9799090623855592,0.33713526,0.10045293,0.08096374,0.04014649,-0.015538324,8.805889,5364.2,3.900545,875.080687419503,1.142751764924521,UBC_545,1.588627589479642
6149073307242910336,181.31741333007807,-40.78758239746094,293.5776427478116,21.244083061451875,0.960173713569252,1.0,0.97588587,0.94686985,0.93199664,1.0,0.3455782,0.09913048,0.07688636,0.03219761,-0.04382573,7.599081,5209.1167,3.8381548,839.4298532425205,1.19128477041558,UBC_545,1.5005053415156508
6462052526200514048,323.6882629394531,-53.59419631958008,342.71355484842246,-45.42514688638908,0.959872114966874,1.0,0.99712807,0.91026443,0.95748216,1.0,0.45784825,0.13009083,0.0469634,0.051476073,-0.023695398,7.805164,5149.8335,3.8227768,708.7346021377227,1.4109653980259285,UBC_545,0.530411502509245
4650157453550998144,89.16629028320312,-73.8447494506836,284.7852910707836,-29.775146898713125,0.9596880661111276,1.0,0.9826858,0.97363186,0.8255508,1.0,0.42102438,0.069353886,0.053139485,0.013820488,-0.10480004,6.184654,5447.328,3.840973,316.54680304113265,3.159090505393789,UBC_545,0.91940528571738
4806485948062172032,80.89183044433594,-43.09600067138672,248.45809094291533,-33.686398014288315,0.959615677247859,1.0,0.999608,0.95307845,0.8790145,0.8958682417869568,0.4242835,0.09300779,0.035734184,0.031929757,-0.07696155,9.875842,5167.0874,3.851856,625.1802485382103,1.599538696780951,UBC_545,0.5631080730455293
6118378348509176960,216.9747009277344,-37.07405471801758,323.5032033245983,21.91451347041033,0.957955887410676,1.0,0.9682441,0.94099903,0.9471204,0.9796336889266968,0.36026958,0.10462489,0.07377618,0.023930166,-0.03240832,8.811448,5652.039,3.9955487,1109.2458325327063,0.9015134162972074,UBC_545,1.3981146198749324
4775992023856857856,68.36833190917969,-54.90016555786133,263.66331514052547,-41.517943717752445,0.9566797919804484,1.0,0.9999367,0.95225984,0.835731,0.9964838624000548,0.3727898,0.09383561,0.049409084,0.03889757,-0.09977002,8.33573,5469.84,3.9129663,644.2122459203553,1.552283438156857,UBC_545,0.9722688898556764
3787057284053382272,171.01028442382812,-4.200583457946777,265.63523044410795,52.226476486187565,0.9562791884389452,1.0,0.97268873,0.8767133,0.96969086,0.99248605966568,0.4174283,0.15389456,0.065104134,0.018166803,0.11202619,8.491277,5497.484,3.9431844,1088.07770311826,0.919052009920024,UBC_545,1.1863026024987282
6084574963028104192,195.2782440185547,-49.98833465576172,304.5267571684425,12.853450659908152,0.9555470352889064,1.0,0.99017113,0.9330252,0.9298012,1.0,0.3640355,0.11170564,0.060457297,0.02855577,-0.045383677,6.0648594,5443.5815,3.8414958,311.9309719859082,3.205837476264384,UBC_545,1.2337892877764276
