category,n,n_match,med_host,med_match,shift,effect_size,p_MW,p_perm,verdict
HZ_rocky,3,30,0.6850015813565284,0.6766409630468222,0.008360618309706247,0.04813527489713393,0.5817448680351908,0.48,CLEANLY REJECTED (shift<=0 OR p_MW>0.5)
non_HZ_rocky,271,2662,0.8702737720258462,0.8474923288037886,0.022781443222057662,0.3769788466635976,5.2596613566756525e-08,0.0,"CONFIRMED (>0 shift, p<Bonferroni, perm<.05, effect>0.3)"
sub_Neptune,417,4062,0.8740411598390504,0.8562142434111454,0.017826916427905015,0.28142785252508995,5.5318703009664357e-08,0.0,PARTIAL
