cluster,N,C_O_mean,C_O_std,intrinsic_scatter,mean_sigma_CO,feh_mean,feh_std,rv_mean,rv_std,snr_mean,age_gyr,logage
Kharchenko 1,59,0.3521,0.1172,0.0,0.1788,-0.0432,0.0726,-6.68,1.81,107.2,0.7079,8.85
Collinder 69,166,0.503,0.1284,0.1242,0.0293,-0.1752,0.1173,30.09,13.53,164.2,0.0126,7.1
NGC 1857,5,0.4451,0.1361,0.1296,0.0401,-0.1786,0.003,13.37,18.51,274.6,0.2512,8.4
Berkeley 71,6,0.4023,0.1392,0.1324,0.0414,-0.2549,0.0316,-9.47,0.34,188.8,0.871,8.94
ASCC 19,106,0.5012,0.147,0.1264,0.0463,-0.1454,0.0999,29.55,5.65,167.6,0.0105,7.02
ASCC 16,58,0.5112,0.149,0.1427,0.0334,-0.1111,0.1038,21.26,4.64,172.5,0.0135,7.13
BH 131,9,0.2695,0.1709,0.1697,0.0192,0.0873,0.0384,-31.77,0.63,236.8,,
BH 56,47,0.4875,0.1753,0.1291,0.0697,-0.1088,0.0953,18.16,1.94,79.8,0.0178,7.25
NGC 7058,4,0.3244,0.1887,0.1865,0.0273,-0.0156,0.0453,-19.28,0.14,71.2,0.0407,7.61
Sigma Orionis,10,0.479,0.2045,0.2026,0.0267,-0.2189,0.0311,30.73,0.6,139.4,,
