gaiadr3_source_id,ra,dec,gal_l,gal_b,hab_score,s_CO,s_MgSi,s_FeH,s_MgFe,s_SiFe,s_volatile,s_age,C_O,C_O_raw,Mg_Si,fe_h,mg_fe,si_fe,al_fe,ca_fe,ba_fe,age,teff,logg,dist_pc,parallax,rv_comp_1,cct_cluster,cct_distance
5277944954823416704,124.2645034790039,-62.379859924316406,276.4319733549038,-14.680958147038659,0.9838775753914348,1.0,0.9994641,0.95283955,0.9578828,0.9803779,0.99574405,1.0,0.20451474,0.3547017,1.0330974,0.0932501,0.044003867,0.02986259,0.037224308,-0.002118146,0.02691041,7.8141446,5493.015,3.9032087,925.856535007083,1.0800809436338317,26.181946,NGC_2972,2.6467079599887295
5414498109943502592,152.3086700439453,-45.86613845825195,275.70944906754295,8.25761850551846,0.9838151245956483,1.0,0.97888356,0.975952,0.9985046,0.9711415,0.98837185,1.0,0.22760299,0.33398768,0.9373585,-0.06619314,0.008206397,0.03630067,0.101570755,-0.018860325,0.08823661,5.5752378,5576.1313,3.818901,504.53796932456856,1.9820113862564452,36.02475,UPK_398,1.8371489764591054
4876112311435522048,76.78771209716797,-29.61227798461914,231.71164551646442,-34.42820617431977,0.9837739783290258,1.0,0.99446464,0.9622396,0.9968086,0.9895719,0.9882554,1.0,0.22774762,0.33131373,0.9778548,-0.08323776,0.01199358,0.02171921,0.11672437,0.01840313,0.08842876,5.840123,5581.48,3.8277006,650.7696544556612,1.5366420255665638,58.06056,UPK_398,1.7937763449789772
4761565945968555648,74.53004455566406,-60.65299987792969,270.1444912212655,-37.18940749587364,0.9837580943431506,1.0,0.99473333,0.9937996,0.96666306,0.94942725,0.99995446,1.0,0.4022885,0.50008965,0.9788932,0.033459675,0.03906069,0.048325364,-0.0084846765,-0.018679455,0.05238384,6.770747,5592.419,3.88629,593.4514962103071,1.6850576776465322,34.280224,NGC_5460,0.5436713506754031
5467448360847952640,157.07266235351562,-29.400110244750977,269.06685393772295,23.89947505219022,0.9837466957565478,1.0,0.9933815,0.99999094,0.9882902,0.9738859,0.9996919,1.0,0.38712358,0.66922015,0.97390264,0.0012760907,0.023022823,0.034507263,0.14184606,-0.0134598855,0.056205615,7.5967193,5242.7124,3.8191648,718.0312653477846,1.392697015102318,-7.655926,Ruprecht_96,0.44275545802926625
6282139713425252224,223.18128967285156,-18.371110916137695,339.1569003926594,35.829466214877684,0.9837435230053537,1.0,0.99095404,0.9773709,0.9902646,0.97165585,0.99610037,1.0,0.2617418,0.38767037,0.9660751,0.064187385,0.020981863,0.03597096,0.11904904,0.0021767616,0.07209995,6.668801,5539.0464,3.8727717,769.1992224281882,1.3000533162829075,-10.719849,NGC_2972,1.7813944372823927
6903529289682011264,311.85015869140625,-9.142389297485352,38.012903075829485,-29.888857937901598,0.9837403100561102,1.0,0.99047023,0.99976146,0.9717191,0.99957407,0.91255844,1.0,0.3208757,0.47978926,1.0753548,0.0065526925,0.035930276,0.004378477,0.034084365,-0.029088434,-0.056948114,6.5823374,5476.456,3.850215,697.7048458898777,1.433270824892386,-4.580632,Gulliver_50,1.1481766807011344
6799852150710132864,308.0594482421875,-26.259166717529297,17.7858255169426,-32.79087404257611,0.9836752276115092,1.0,0.99904627,0.9605166,0.9990959,0.99937963,0.9479216,1.0,0.29357207,0.32456785,1.0025258,-0.08515354,0.0063798726,0.005284317,0.035669416,0.06308442,-0.031764492,6.438513,5719.1846,3.8812308,835.7897075635368,1.196473216827667,-4.9069953,UPK_398,1.0103393278002435
6041215928145861632,239.85379028320312,-28.577333450317383,345.5130372226005,18.35863923648342,0.9836443500157604,1.0,0.9686166,0.9991277,0.9997183,0.975904,0.9521794,1.0,0.24756175,0.3686235,0.9189868,0.0125332065,-0.0035607666,0.033129975,0.09107366,-0.020926367,-0.028263848,6.029071,5548.2812,3.8468604,512.6353148418835,1.950704469723157,-60.23687,UBC_289,1.6206488038465992
6180454850864111104,194.88308715820312,-32.59402847290039,304.90548792835745,30.24669945586882,0.9836377376455694,1.0,0.98903745,0.94998175,0.9987255,0.99783397,0.9735893,1.0,0.35942897,0.43750456,0.96060824,-0.09610548,-0.007575512,0.009878166,0.017486349,0.037725754,0.107842095,5.7675953,5629.849,3.8348627,574.0138851135468,1.7421181367453995,-25.977066,UPK_398,0.36796706994173145
6079565381894870912,192.5068817138672,-49.351470947265625,302.69569285248446,13.519629719584303,0.9836374707993907,1.0,0.993135,0.9625704,0.98974127,0.9755052,0.97542614,1.0,0.2540575,0.40464595,0.97304916,0.08286515,0.021541215,0.033406425,0.07462159,0.040145956,-0.005768355,5.0681505,5492.2534,3.809756,330.07078519857885,3.029653167875415,6.035993,NGC_2972,1.9437618416819196
4766870471096420480,82.44762420654297,-55.85211181640625,263.82888827763793,-33.47712630292211,0.9836334614296328,1.0,0.99959177,0.99984,0.99997485,0.9994949,0.9071259,1.0,0.2673506,0.39877546,1.0085683,-0.0053665563,-0.0010628849,-0.0047682133,9.761751e-05,-0.05346519,-0.060382348,5.394659,5528.617,3.8114576,642.6064436508509,1.5561624223975767,27.308636,UPK_398,1.4623976424436582
6142432536185232000,196.590576171875,-37.86825180053711,306.1788884715636,24.909386493844444,0.9836203531284891,1.0,0.99664885,0.9996118,0.96575916,0.9556533,0.94699496,0.9984013438224792,0.3435861,0.43703157,0.98722523,0.00836033,0.039595924,0.045179676,0.063087344,-0.013420051,-0.032508694,8.22627,5600.684,3.935362,1172.1666084867275,0.8531210433395682,-17.632563,Ruprecht_96,0.9542005778330619
5242568202559769600,146.2378387451172,-70.89627838134766,288.7808444189598,-13.34538184167639,0.9835963851091526,1.0,0.9619956,0.9894351,0.9766463,0.99820435,0.98652995,1.0,0.35285807,0.36846656,0.90865123,-0.04372417,-0.03260956,0.008993216,0.0024805367,0.032477766,0.0088272765,7.9365797,5748.3823,3.9619927,690.5160542943449,1.4481922524189885,-5.8373713,UPK_398,0.4158102251408258
3072486906250249472,131.42666625976562,-1.812416672706604,228.59211006750058,24.264401746870803,0.983573884909215,1.0,0.99994355,0.9898811,0.98571557,0.99498653,0.9760853,1.0,0.26875365,0.3424757,1.0242493,0.042786468,0.025444731,0.015039045,0.13793823,-0.0025048777,0.105006,6.26571,5638.11,3.8783655,1033.6908162285988,0.9674072597921309,18.125103,UBC_289,1.7521433942790905
3328547878573028736,92.17874908447266,8.4622220993042,200.48383291478947,-5.511746978941422,0.9835491497043202,1.0,0.9962733,0.9368865,0.9996919,0.9998441,0.97731405,1.0,0.38546646,0.40603524,0.9854346,0.108327076,-0.003723301,0.00264889,0.017514244,0.03253241,-0.003557492,6.429021,5738.97,3.930339,993.3144801961322,1.006730516807273,48.72227,UBC_280,1.086480056873846
6247423767655069952,239.59808349609375,-19.3886661529541,352.2620496817769,25.085373064148328,0.9834647445609576,1.0,0.99999946,0.97633725,0.99407977,0.998605,0.96077216,1.0,0.3308327,0.47333422,1.0195788,0.06565431,0.01634638,0.007925585,0.1157881,-0.048216075,-0.020726524,5.859049,5507.5986,3.8398798,749.0084752480334,1.3350983774500695,-29.587513,Teutsch_80,1.3224272440465632
5711470329392237440,119.17720794677734,-22.020526885986328,239.88751799166195,3.4884184586746247,0.9834362368458089,1.0,0.99145406,0.9976111,0.99701786,0.98520344,0.9200114,1.0,0.35294527,0.43233073,0.96759325,0.020748861,0.011593074,0.025900248,0.100556225,0.001915019,-0.05208403,6.980405,5627.3633,3.9012005,1157.2481866827998,0.8641188739871395,70.54662,UBC_289,0.8602168791447745
6256820292803814784,227.33900451660156,-19.523666381835938,342.2399584585241,32.62053186664517,0.9834299019867834,1.0,0.9992497,0.9999957,0.933789,0.9644262,0.9649069,1.0,0.24640289,0.32540354,1.0354977,-0.00088027865,0.055522196,0.040373076,0.06909618,0.009537073,0.11682414,6.059675,5628.0938,3.854183,436.9496874227826,2.288593009181908,-52.529064,Ruprecht_145,1.9726678567535356
5434040455954051712,148.83837890625,-36.73836135864258,267.92491202098626,13.892972303914831,0.9833608967171781,1.0,0.9876436,0.9949628,0.9962776,0.9991548,0.8945973,1.0,0.47887504,0.5139683,0.95692295,0.0301493,-0.012954608,0.0061684214,0.051310286,-0.027177861,-0.06799448,5.406697,5711.409,3.854127,973.180491925847,1.0275586166149706,56.828472,IC_2581,0.3283812069714828
6831259249382498304,322.11474609375,-19.35794448852539,31.14597790150851,-43.03697280328846,0.983296808426284,1.0,0.999937,0.97178894,0.9923193,0.99683553,0.93060595,1.0,0.28376332,0.3695868,1.0155104,-0.07177048,0.018627025,0.0119426325,0.08990419,0.024902755,-0.04481516,7.7785044,5615.147,3.9061255,500.50249959456215,1.9979920196403846,-9.971311,UPK_398,1.2643644211285394
5204769123098918656,155.94296264648438,-75.64405822753906,294.0462010852533,-15.385885805301546,0.9832825842304428,1.0,0.98036146,0.99986565,0.98040235,0.93137324,0.9824023,1.0,0.21185422,0.23930305,0.9403327,0.0049185753,0.029843725,0.056562196,0.05301763,-0.03756266,0.0028907359,7.8952436,5725.915,3.971381,530.0388375043166,1.8866542019986527,52.61213,NGC_2972,2.10142487099092
5585967635489572864,109.85787200927734,-38.500057220458984,250.50008288517307,-11.478075537584296,0.9832698116625458,1.0,0.9922806,0.9999982,0.9988409,0.99922323,0.9439331,0.9257378578186035,0.26127458,0.3703298,0.9702026,-0.00057424605,-0.0072241947,0.0059133675,0.052956074,-0.05424951,-0.034926455,9.571386,5571.064,3.9597828,485.5357758685172,2.0595804669825184,67.2005,UPK_398,1.4894082288877757
5416225996763244416,156.18338012695312,-42.59327697753906,276.1605474746181,12.525390041153583,0.9832301509874657,1.0,0.9983745,0.9709257,0.99877894,0.9974149,0.9756015,0.992434561252594,0.18174195,0.31915468,1.0428158,0.07287636,0.007415034,-0.010792579,0.12529999,-0.025531996,-0.005566422,8.492965,5517.255,3.926419,699.0561123268941,1.4305003308981552,68.925514,UBC_289,2.7607168170828857
4740763705662457216,43.872039794921875,-54.69105529785156,272.17434403318754,-54.38742344932914,0.9832249410097312,1.0,0.99783707,0.988372,0.9969386,0.99820495,0.89250755,1.0,0.20265958,0.34681025,0.9936769,-0.045883544,-0.0117463395,-0.008991524,0.038362995,0.033816025,0.16922683,5.389993,5504.469,3.8037562,782.7891379665241,1.277483234626545,47.856762,UPK_398,2.0145962338172674
6087052094003928832,200.5238800048828,-46.13685989379883,308.4603632229135,16.405538569249423,0.9832170412449285,1.0,0.98932374,0.9948503,0.99922824,0.9883197,0.90796214,1.0,0.19268674,0.26493275,0.96139306,0.030485116,0.0058946386,0.022993647,0.03199564,-0.043037906,-0.059859365,5.8190794,5640.9106,3.8605864,939.5294178168612,1.0643626277542766,45.319786,UBC_289,2.3575579824588844
4669914028227408384,61.39570999145508,-64.735107421875,277.61140935784454,-41.596674424361495,0.9832100120598242,1.0,0.9771372,0.97496915,0.9996668,0.9853235,0.9418142,1.0,0.22611442,0.33330092,0.9339709,-0.06754931,-0.003872484,0.025794167,0.05249165,-0.0070254356,-0.036564477,6.5744677,5574.61,3.8546982,568.9682276268073,1.7575673850384337,-6.0620937,UPK_398,1.7292208976396375
5930305235370089344,250.85458374023438,-54.33988952636719,332.7095448909293,-5.480125048694228,0.9831944147590953,1.0,0.9999249,0.99164736,0.9884981,0.9753713,0.9096075,1.0,0.3098339,0.39704975,1.024902,0.038856134,-0.022816379,-0.03349871,0.046074986,-0.025877945,-0.05882446,7.349899,5612.505,3.9123206,807.4889209591396,1.238407084040478,-35.23402,UPK_398,1.5893223931487708
