gaiadr3_source_id,ra,dec,gal_l,gal_b,hab_score,s_CO,s_MgSi,s_FeH,s_MgFe,s_SiFe,C_O,Mg_Si,fe_h,mg_fe,si_fe,al_fe,ca_fe,teff,logg,dist_pc,parallax,rv_comp_1,cct_cluster,cct_distance
5499775235358428160,94.78987121582031,-54.65416717529297,263.1907403360519,-26.372784235748707,0.9817656112965953,1.0,0.98450106,0.9721649,0.9878764,0.9540173,0.4514794,0.9493,0.07128375,0.023428537,0.04602507,0.06728244,-0.008520183,5373.7827,3.8193123,670.6824614455825,1.491018563158204,22.972006,NGC_3033,0.3095912281835298
6673899520333675520,302.9769592285156,-43.877750396728516,356.26904083313525,-32.459361555610755,0.9817584439751172,1.0,0.9623798,0.9831615,0.98385024,0.98473775,0.3546188,1.1307734,-0.05528771,0.027067848,-0.026307754,0.03149073,0.04081153,5715.575,3.968751,480.8589887035374,2.079611743759098,-12.8068075,Gulliver_50,0.9271525849901613
5807421101372797440,254.49465942382812,-71.82302856445312,319.66305026185273,-17.537465878360596,0.9817296261232565,1.0,0.9991509,0.96244335,0.96930385,0.9894063,0.45708784,1.036488,0.08300856,0.03745629,0.021892,0.026512638,0.05989886,5576.873,3.861483,1010.0597765006507,0.9900404147014914,-16.18266,Collinder_205,0.5245940646976112
6273562285778107008,211.5887451171875,-26.568056106567383,323.04348056922333,33.3610833154571,0.9817285983284639,1.0,0.97291344,0.99929744,0.9528265,0.9999995,0.49452323,1.1137404,0.011247389,0.046631627,-0.00015235879,0.106767654,-0.020819481,5439.362,3.915171,712.182619887508,1.4041342375891648,-57.38634,Gulliver_40,0.7385233224214597
5909304803739699200,269.0975341796875,-64.64680480957031,328.9853354979323,-18.74815457228645,0.9817030545102179,1.0,0.99798584,0.988209,0.9353913,0.97232103,0.3335857,1.0454004,-0.046205983,0.054823034,0.035540376,0.08294046,0.01566157,5697.193,3.9367483,704.1817313084119,1.4200879624382472,-8.951,Ruprecht_145,1.012256467897228
5448189109018077056,158.6145782470703,-31.92127799987793,271.7914403471057,22.540763354374015,0.9816924867054901,1.0,0.99787116,0.9680184,0.9525639,0.9837111,0.38085976,1.0461146,-0.076490246,0.046764456,0.027185194,0.02195789,0.024096018,5747.286,3.9563296,1091.8386400984837,0.9158862521203683,-8.555542,UBC_199,0.5238698682039182
6107468925419148544,207.9913330078125,-46.08185958862305,313.7628684247673,15.513107547452407,0.9816906173725555,1.0,0.9999465,0.9745248,0.98155624,0.9891961,0.46696496,1.0158606,0.06815396,0.02894333,0.022109251,0.10305616,-0.06906146,5686.206,3.9089212,547.1325005972498,1.827710835873212,-51.354,Collinder_205,0.35148737692837995
6265220114963934336,235.76150512695312,-14.88741683959961,352.9615440491853,30.857033971305995,0.9816867962254208,1.0,0.988101,0.9793718,0.98484975,0.9563878,0.3397192,0.95810884,-0.061252914,0.026210278,0.044795427,0.075862944,-0.045376997,5578.3203,3.915545,1100.3488568769799,0.9088026890291948,-68.62349,NGC_5617,0.8439385324292976
4893896946374714240,72.26829528808594,-24.7722225189209,224.65663346256926,-37.03536937806892,0.9816648096545916,1.0,0.9692246,0.9850583,0.9984346,0.9567301,0.38045654,0.9199856,-0.052055627,0.008396335,0.044615317,0.07401663,0.035458267,5612.036,3.9397328,584.662887936287,1.7103873371024942,50.900303,Ruprecht_82,0.30287868275441826
6479122749163137152,319.6145324707031,-48.383888244628906,350.63369740115706,-43.994896609387965,0.9816439378388843,1.0,0.9692971,0.99260926,0.9449147,0.99544555,0.31092286,0.9201054,0.036541384,-0.050494805,-0.0143323885,0.05772595,0.039787933,5619.242,3.8457623,809.8530887621407,1.2347918577781787,-36.70682,UPK_398,1.4903141114474419
